48
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.03	0.15	0.49	0.35	0.00	0.20
x1	0.00	0.04	0.11	0.42	0.52	0.00	0.22
x2	0.00	0.03	0.69	0.44	0.34	0.00	0.30
x3	0.00	0.03	0.03	0.37	0.30	0.09	0.15
x4	0.23	0.09	1.00	0.67	0.96	0.00	0.59
x5	0.00	0.04	0.34	0.47	0.43	0.00	0.26
x6	0.00	0.08	0.01	0.65	0.72	0.02	0.29
x7	0.00	0.00	0.03	0.02	0.13	0.01	0.04
x8	0.00	0.45	0.07	1.00	0.11	0.03	0.33
x9	0.00	0.49	0.04	1.00	0.17	0.03	0.34
x10	0.00	0.66	0.09	0.98	0.30	0.02	0.41
x11	0.00	0.23	0.04	0.72	0.23	0.00	0.24
x12	0.00	0.00	0.03	0.00	0.16	0.04	0.04
x13	0.00	0.06	0.01	0.58	0.40	0.00	0.21
x14	0.00	0.01	0.06	0.23	0.09	0.07	0.08
x15	0.00	0.04	0.07	0.33	0.43	0.00	0.17
x16	0.00	0.19	0.04	0.56	0.23	0.00	0.20
x17	0.00	0.22	0.02	0.86	0.41	0.07	0.30
x18	0.00	0.10	0.13	0.81	0.18	0.03	0.24
x19	0.00	1.00	0.05	1.00	0.06	0.01	0.42
x20	0.00	0.88	0.01	1.00	0.20	0.01	0.42
x21	0.00	0.31	0.06	1.00	0.00	0.03	0.27
x22	0.00	0.36	0.09	0.79	0.18	0.00	0.28
x23	0.00	0.79	0.03	0.91	0.03	0.01	0.35
x24	0.00	0.04	0.02	0.19	0.12	0.22	0.07
x25	0.00	0.23	0.03	0.77	1.00	0.00	0.41
x26	0.00	0.04	0.02	0.40	0.48	0.46	0.19
x27	0.00	0.03	0.02	0.35	0.09	0.05	0.10
x28	0.00	0.05	0.01	0.63	0.33	0.24	0.20
x29	0.00	0.22	0.00	0.84	0.10	0.84	0.23
x30	0.82	0.01	0.02	0.26	0.21	0.01	0.26
x31	0.62	0.00	0.05	0.05	0.09	0.01	0.16
x32	0.54	0.02	0.02	0.28	0.20	0.02	0.21
x33	0.73	0.01	0.00	0.12	0.11	0.02	0.19
x34	1.00	0.01	0.06	0.09	0.14	0.00	0.26
x35	0.62	0.01	0.02	0.07	0.09	0.01	0.16
x36	0.00	0.03	0.04	0.21	0.20	0.61	0.10
x37	0.00	0.10	0.09	0.74	0.34	0.18	0.25
x38	0.00	0.09	0.03	0.60	0.15	0.91	0.17
x39	0.00	0.15	0.02	0.53	0.51	0.93	0.24
x40	0.00	0.12	0.01	0.51	0.30	0.60	0.19
x41	0.00	0.01	0.04	0.14	0.15	0.21	0.07
x42	0.00	0.10	0.00	0.30	0.93	0.40	0.27
x43	0.00	0.13	0.02	0.16	0.02	0.85	0.07
x44	0.00	0.38	0.00	0.70	0.37	1.00	0.29
x45	0.00	0.96	0.01	0.88	0.36	0.90	0.44
x46	0.00	0.65	0.01	0.95	0.15	0.37	0.35
x47	0.00	0.78	0.01	0.93	0.04	0.72	0.35
48
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.04	0.37	0.47	0.22	0.48	0.22
x1	0.00	0.07	0.69	0.53	0.54	0.22	0.37
x2	0.00	0.05	0.47	0.51	0.49	0.41	0.30
x3	0.00	0.00	0.37	0.00	0.05	0.96	0.08
x4	0.00	0.14	1.00	0.63	1.00	0.02	0.55
x5	0.00	0.01	0.39	0.09	0.04	0.66	0.11
x6	0.00	0.20	0.14	0.65	0.63	0.05	0.32
x7	0.00	0.70	0.40	0.95	0.18	0.05	0.45
x8	0.00	0.26	0.37	0.88	0.31	0.53	0.36
x9	0.00	0.19	0.12	0.23	0.30	0.26	0.17
x10	0.00	0.50	0.28	0.93	0.16	0.71	0.37
x11	0.00	0.00	0.25	0.07	0.14	0.03	0.09
x12	0.00	0.00	0.44	0.05	0.01	0.25	0.10
