32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.47	0.18	0.80	0.89	0.64	0.00	0.60
x1	1.00	0.18	0.48	0.96	0.65	0.00	0.65
x2	0.00	0.18	0.35	1.00	0.60	0.00	0.43
x3	0.00	0.04	1.00	0.41	0.09	0.01	0.31
x4	0.00	0.21	0.07	0.74	0.58	0.01	0.32
x5	0.00	0.02	0.13	0.15	0.41	0.00	0.14
x6	0.00	0.32	0.03	0.93	0.35	0.15	0.33
x7	0.00	0.11	0.03	0.48	0.03	0.00	0.13
x8	0.00	0.20	0.10	0.63	0.45	0.00	0.28
x9	0.00	0.28	0.12	0.85	0.62	0.00	0.37
x10	0.03	0.35	0.20	0.78	0.29	0.00	0.33
x11	0.00	0.09	0.08	0.52	0.25	0.01	0.19
x12	0.00	0.54	0.14	1.00	0.00	0.01	0.34
x13	0.00	1.00	0.11	1.00	0.13	0.01	0.45
x14	0.00	0.21	0.07	0.70	0.36	0.00	0.27
x15	0.00	0.03	0.09	0.44	0.16	0.06	0.14
x16	0.00	0.00	0.01	0.04	0.05	0.01	0.02
x17	0.00	0.03	0.00	0.37	0.12	0.07	0.10
x18	0.00	0.43	0.04	0.81	1.00	0.01	0.46
x19	0.00	0.01	0.03	0.11	0.10	0.65	0.05
x20	0.16	0.01	0.03	0.22	0.06	0.01	0.10
x21	0.15	0.02	0.05	0.30	0.08	0.00	0.12
x22	0.16	0.01	0.05	0.19	0.05	0.00	0.09
x23	0.06	0.00	0.08	0.00	0.00	0.06	0.03
x24	0.00	0.03	0.00	0.33	0.03	0.36	0.08
x25	0.00	0.08	0.00	0.56	0.07	0.97	0.14
x26	0.00	0.05	0.01	0.59	0.20	0.31	0.17
x27	0.00	0.02	0.04	0.26	0.11	0.13	0.09
x28	0.00	0.01	0.02	0.07	0.12	0.66	0.04
x29	0.00	0.73	0.02	1.00	0.13	0.92	0.38
x30	0.00	0.13	0.05	1.00	0.18	0.56	0.27
x31	0.00	0.15	0.03	0.67	0.27	1.00	0.22
32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.02	0.29	0.26	0.08	0.60	0.13
x1	0.00	0.07	0.55	0.56	0.30	0.05	0.30
x2	0.00	0.01	0.36	0.22	0.08	0.59	0.13
x3	0.00	0.00	0.39	0.04	0.02	1.00	0.09
x4	0.00	0.42	0.30	1.00	0.25	0.30	0.39
x5	0.00	0.46	0.34	0.96	0.13	0.37	0.38
x6	0.00	0.13	0.35	0.93	1.00	0.54	0.48
x7	0.00	0.28	0.29	0.85	0.78	0.21	0.44
x8	0.00	0.01	0.09	0.19	0.07	0.15	0.07
x9	0.00	0.01	0.26	0.11	0.05	0.82	0.09
x10	0.85	0.02	0.11	0.30	0.10	0.00	0.28
x11	0.30	0.02	0.15	0.37	0.11	0.04	0.19
x12	0.00	0.02	1.00	0.41	0.09	0.19	0.30
x13	0.00	0.92	0.97	0.89	0.55	0.66	0.67
x14	0.00	0.83	0.90	1.00	0.57	0.15	0.66
x15	0.00	0.01	0.62	0.07	0.00	0.76	0.14
x16	0.00	0.11	0.08	0.63	0.09	0.26	0.18
x17	0.00	0.11	0.00	0.74	0.21	0.52	0.21
x18	0.00	0.25	0.01	0.81	0.20	0.35	0.25
x19	0.00	0.08	0.03	0.44	0.25	0.30	0.16
x20	0.06	0.03	0.15	0.48	0.06	0.36	0.16
x21	0.74	0.04	0.09	0.52	0.15	0.00	0.31
x22	0.18	0.01	0.05	0.15	0.05	0.06	0.09
x23	1.00	0.06	0.13	0.67	0.14	0.00	0.40
x24	0.00	0.07	0.10	0.59	0.11	0.28	0.17
x25	0.00	0.00	0.03	0.00	0.03	0.41	0.01
x26	0.00	0.23	0.01	0.78	0.21	0.46	0.25
x27	0.00	0.03	0.05	0.33	0.03	0.29	0.09
x28	0.00	0.29	0.06	1.00	0.29	0.61	0.33
x29	0.00	1.00	0.03	1.00	0.16	0.71	0.44
x30	0.00	0.34	0.05	1.00	0.03	0.23	0.28
x31	0.00	0.59	0.13	0.70	0.73	0.17	0.43
32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.92	0.12	0.60	0.81	0.68	0.00	0.63
x1	0.93	0.11	0.30	0.70	0.67	0.00	0.54
x2	1.00	0.12	1.00	0.93	0.68	0.00	0.75
x3	0.67	0.07	0.49	0.67	0.43	0.00	0.47
x4	0.00	0.34	0.18	0.78	0.05	0.00	0.27
x5	0.00	0.27	0.06	0.74	0.02	0.00	0.22
x6	0.00	0.25	0.13	0.41	0.06	0.00	0.17
x7	0.00	0.04	0.05	0.22	0.06	0.00	0.07
x8	0.15	0.01	0.24	0.07	0.25	0.00	0.14
x9	0.47	0.04	0.37	0.37	0.36	0.00	0.32
x10	0.83	0.07	1.00	0.48	0.40	0.00	0.56
x11	0.24	0.24	0.09	1.00	1.00	0.00	0.51
x12	0.00	0.04	0.31	0.26	0.14	0.00	0.15
x13	0.00	1.00	0.13	1.00	0.06	0.00	0.44
x14	0.00	0.14	0.42	0.63	0.00	0.02	0.24
x15	0.00	0.36	0.15	1.00	0.10	0.00	0.32
x16	0.00	0.04	0.04	0.33	0.17	0.01	0.12
x17	0.00	0.00	0.02	0.00	0.00	0.00	0.00
x18	0.00	0.05	0.33	0.52	0.12	0.00	0.20
x19	0.00	0.06	0.04	0.56	0.24	0.45	0.18
x20	0.19	0.04	0.08	0.30	0.21	0.00	0.16
x21	0.13	0.01	0.00	0.15	0.06	0.00	0.07
x22	0.13	0.02	0.14	0.19	0.10	0.00	0.12
x23	0.15	0.01	0.02	0.11	0.08	0.00	0.07
