1492737527000[,,,,,,]4月21日早资讯笔记：影响今天市场重要资讯一、宏观资讯其中，中央级和地方级税收收入分别为15441亿元和17876亿元，按全面推开营改增试点后，中央与地方增值税收入划分过渡方案对去年执行数调整后的新口径计算，分别增长11.1%和12.4%。一季度税收收入增长较快，主要是因为与税收关联度较大的经济指标表现积极，特别是受PPI上涨较快带动。评论：希望哪一天税收增速比GDP增速慢，至少增速差不多才好，企业这刚有点起色，税收就先行了~ 【上交所：预计今年核发IPO500家 融资金额达3000亿】上交所发行上市中心执行经理顾斌公开表示，根据一季度发行速度测算，2017年将延续去年11月12月的高速发行节奏。预计2017年全年核发IPO数量达500家，全年IPO融资额达3000亿元。【上交所：IPO审核未通过原因集中在持续盈利能力不足】上交所发行上市中心执行经理顾斌公开表示，2016年IPO审核通过率较高，财务与会计问题是审核重点。其中，未通过原因主要集中在财务与会计、规范运行、信息披露等问题上，占IPO审核未通过的比重分别为41.65%、33%、20%。评论：领导又发话了，对目前次新股的炒作不是利好，建议暂时远离次新股 二、行业资讯中粮不久前已公开目标：至2018年，争取18家专业化公司全部混改，引入战投，实现上市发展。中粮资本正是这18家专业化公司之一，公司高管也曾透露“十三五”期间拟通过IPO或重组等方式择机上市。个股：中粮生化 过去12个月以来，生猪价格与高点相比降幅已接近两成。在长达一年半的时间维度上，当前价格已经跌破了去年10月16日每公斤15.43元的最低点，与一年半之前的价格基本持平。玉米价格和豆粕价格最近比较平稳，但由于猪价下跌，导致猪粮比价已经跌到了8.7：1了，创下一年半以来的最低纪录。个股：龙大肉食 该产量并超过分析师预估的8470万吨，加剧了投资者对铁矿石供应过剩的担忧。公司维持2017年铁矿石产量预估在3.6亿-3.8亿吨不变。评论：钢铁上游供给过剩，利好进口铁矿石比例较高的钢铁标的个股：包钢股份、方大特钢、柳钢股份、南钢股份 三、个股资讯和机会公司预计公司2017年一季度实现归属于上市公司股东的净利润与上年同期相比，将增长70%-80%（去年同期0.69亿，今年预计1.17-1.24）。公司表示，公司2017年一季度PPP业务利润的贡献对公司整体盈利带来较大幅度提升。公司2016年累计新承接业务量约377.51亿元，同比增长54.34%；其中单一施工合同模式153.7亿元，同比下滑8.5%，主要因公司主动控制传统模式订单承接；新签PPP合同共计223.8亿元，同比大幅增长192.4%。传统单一施工合同订单占比已由2015年的68.7%下降至2016年的40.7%。公司一季度公告中标（含预中标）PPP订单71亿元，较去年同期增长450%，趋势强劲，预计2017年公司PPP订单仍将实现快速增长，业务结构及客户结构都将得到进一步优化。值得关注，预测公司2016-2018年净利润分别为3.48/6.62/10.58亿元，目标价15元  公司2016年实现营业收入393,969,737.64元，同比增长22.49%；实现归属于上市公司股东的净利润52,812,653.25元，同比下降11.24%；基本每股收益0.83元/股。公司2016年度利润分配预案为：以80,000,000为基数，向全体股东每10股派发现金红利1.50元（含税），以资本公积金向全体股东每10股转增15股。 
1492737166000[,,,,,,]有重大消息的股票拟10转15派1.5元。　　拟10转10派1.5元。　　拟10转4，将向北方稀土提供稀土精矿。　　拟10转10派2。　　拟每10股派10.00元，目前股价16.14元。　　去年业绩扭亏，拟10转8派1元。　　2017年是“盈利之战”，乐视大屏将率先扭亏。　　募资120亿元投向主业，巩固全球水利水电龙头地位。　　中标13亿元PPP项目，占公司2015年营收的89.97%个股推荐$中科云网(SZ002306)$ ,$马应龙(SH600993)$ ,$天坛生物(SH600161)$ ,西藏天路(SH600326),广州港(SH601228) ,西部建设(SZ002302)注意仓位，近期有回调风险逢低轻仓操作上信息只供参考，提供思路，能者把握， 把握不了的建议多看少动，买卖自由 ，关注不等于买入，盲目操作者盈亏自负。市场回顾点评及策略盘面上看，早盘，两市小幅反弹之后震荡回落，再次陷入调整，尾盘股指止跌回升。截至收盘，沪指上涨0.04%，报收3172点；深成指上涨0.1%，报收10359点；创业板上涨0.27%，报收1850点。板块上，酿酒、医药、家电等防御性板块涨幅居前，雄安新区、京津冀、水泥建材、园林工程、债转股、黄金概念、页岩气、有色、环保等跌幅居前；技术上看，在遭遇四连阴破位下杀之后，沪指周四并未再创新低，尾盘反抽收阳，日K线终结四连阴，最终大盘以带有场下影的小阳线报收，走出双针探底的走势，有一定的止跌意味；从沪指30分钟看，指数今日继续在3140-3180点的矩形整理区间震荡运行，并且MACD红柱做多量能增加，并且k线运行到BOLL中轨下方，短期上方压力还是不小，指数或将继续在矩形区间维持震荡的走势；两市合计成交4649亿元，成交量较前一交易日有所萎缩，大盘后市反弹有待量能和热点的进一步配置，建议投资者继续密切留意市场的量能变化，酌情把握个股波段机会；我们认为，股指近期维持震荡的可能性居大，有业绩支撑的个股仍然可以继续持仓，也可以在被错杀的个股中寻找机会， 最后再说说我们一直跟踪的雄安板块，随着这几天的调整，再加上相当部分游资被闷杀，看空这个板块的已经越来越多!这确实是个好现象! 最担心是大家观点完全一致，完全一致反而不踏实！这是历史经验！
1492735940000[,,,,,,]个股利好：路通视讯年报拟10转15派1.5；兆驰股份年报拟10转15派0.25；中装建设年报拟10转10派2；同为股份年报拟10转10派1.5；美锦能源年报拟10转8派1；苏利股份年报拟10转5派6；宣亚国际年报拟10送5派5；汇金通年报拟10转5派1.65；康德莱年报拟10转5派1.5；南京银行年报拟10转4派2.6；包钢股份年报拟10转4 
1492735673000[,,,,,,]个股利好：路通视讯年报拟10转15派1.5；兆驰股份年报拟10转15派0.25；中装建设年报拟10转10派2；同为股份年报拟10转10派1.5；美锦能源年报拟10转8派1；苏利股份年报拟10转5派6；宣亚国际年报拟10送5派5；汇金通年报拟10转5派1.65；康德莱年报拟10转5派1.5；南京银行年报拟10转4派2.6；包钢股份年报拟10转4；
1492697709000[,,,,,,]$包钢股份(SH600010)$ 6元的成本啊 慢慢做吧
1492694127000[,,,,,,]【 ：拟10转4 将向北方稀土提供稀土精矿】包钢股份披露年报，2016年实现营收310.28亿元，同比增长37.90%；净利8503.37万元，同比扭亏。公司拟每10股转增4股。另外，公司拟与北方稀土(600111)签订《稀土精矿供应合同》，向其供应生产所需的稀土精矿，年供应量不超过30万吨。
1492694062000[,,,,,,]$包钢股份(SH600010)$10转4股。
1492694045000[,,,,,,]$包钢股份(SH600010)$ 包钢股份披露年报，2016年实现营收310.28亿元，同比增长37.90%；净利8503.37万元，同比扭亏。公司拟每10股转增4股。另外，公司拟与北方稀土(600111)签订《稀土精矿供应合同》，向其供应生产所需的稀土精矿，年供应量不超过30万吨。
1492693799000[,,,,,,]$包钢股份(SH600010)$年报出来没，据说有送股。
1492685708000[,,,,,,]a股从2月底就开始横盘，当指数横盘和其他因素共振时，应该抛出所有股票，——美元加息，央行收紧货币杠杆，国内资金面持续紧张，美帝开始持续做空港股的国内上市公司，，，已经全部上周已经全部卖掉所有股票，只保留包钢股份(SH600010)$底仓，，，
1492658115000[,,,,,,]中远海特、包钢股份，共+0.17%以后我会尽量控制在午盘前抛掉，可以小赚可以像今天一样几乎不赚，总比亏好。交易模型形成后，想要往更高一层的台阶上走考验的就是心性了。想把风险降低到零相对应的就要丧失掉很多机会。我并非风险厌恶者，只是我选择的模型注定要走这条路。不懂不做，不侥不贪。集腋成裘，慢就是快。
1492569570000[,,,,,,]5月1日，内蒙古即将迎来自治区成立70周年纪念日。今年“两会”期间，李克强总理在作政府工作报告中专门讲到要“组织好内蒙古自治区成立70周年庆祝活动”。这是多年以来，内蒙古在政府工作报告中被首次点名，意义不言而喻。业内人士认为，借助“一带一路”东风和全面小康目标推动，内蒙古板块迎来投资机会。　　　　5月1日，内蒙古将迎来自治区成立70周年大庆。这既是内蒙古的一件大事，也是党和全国的一件大事。2017年3月5日，李克强总理在作政府工作报告中专门讲到要“组织好内蒙古自治区成立70周年庆祝活动”。　　自2013年中央经济工作会议着重提出“推动区域协调发展，完善并创新区域政策”，奠定区域发展为未来工作主基调之一后，连续5年的中央经济工作会议中均提出了区域发展总体策略。在去年的国家十三五规划文件及2017年中央经济工作会议中再次强调了“西部开发、东部振兴、中部崛起、东部率先”的区域发展总体策略以及“京津冀协同发展、长江经济带发展，一带一路建设”三大战略。作为联通中俄蒙的西部重镇，内蒙古的政策关注度不容小觑。　　2013年，内蒙古自治区提出“8337”发展思路，要把内蒙古建成保障首都、服务华北、面向全国的清洁能源输出基地、全国重要的现代煤化工生产示范基地、有色金属加工和现代装备制造等新型产业基地、绿色农畜产品生产加工输出基地、体现草原文化、独具北疆特色的旅游观光、休闲度假基地。　　“五大基地”建设成为内蒙古自此发展的目标方向和重要遵循。2015年11月出台的自治区“十三五规划”再次强调了“推进五大基地建设”，这也将成为近几年内蒙古发展定位的主线。　　　　内蒙古自治区自然资源极为丰厚，是世界最大的“露天煤矿”之乡。中国五大露天煤矿有四个在内蒙古,分别为伊敏、霍林河、元宝山和准格尔露天煤矿。其煤炭保有储量约2317亿吨，占全国近四分之一。　　今年两会时，李克强总理在政府工作报告时表示，2016年退出煤炭产能达2.9亿吨，并计划在2017年进一步退出煤炭产能1.5亿吨以上。2016年产能下降引发的煤价上升超过50%，市场有目共睹。根据申万宏源（000166）煤炭组测算，2017年去产能将推升焦煤价格从年初的1600元/吨升至1700元/吨，涨幅约6.25%，而动力煤价格将在600元/吨附近维持高位震荡。　　此外，内蒙古将是本轮煤价上升最大的受益者。在2016年，由于内蒙古去煤炭产能8.1%，小于全国(9.4%)和山西(14.4%)，内蒙古已经超越山西成为中国煤炭产量第一大省，占全国24.9%，在减产幅度不大的情况下，充分享受到了煤价上升带来的利润增长。综上所述，煤价和内蒙古GDP增速的高相关性叠加煤价上涨的预期，内蒙古新一轮的机遇已经到来。　　其次，内蒙古横跨东北、华北、西北，毗邻八省区，北面连通俄蒙两国，区位优势巨大，是“丝绸之路经济带”中不可替代的重要节点。“一带一路”战略标志着内蒙古从中国对外开放的“幕后”走向“台前”，将为其经济发展带来新的机遇。同时，内蒙古不仅是“一带一路”四条线路中，中俄蒙经济带的核心所在，又受益于“振兴东北”，“西部大开发”和“京津冀协同发展”等多个区域战略。　　最后，内蒙古拥有独特的草原边塞风光，近年来旅游业飞速发展，占GDP比重迅速增加，成为内蒙古经济发展的新引擎。数据显示，过去7年中内蒙古旅游业总收入环比增速连续超过20%，2016年达到2714.7亿元，占GDP比重14.57%。旅游业的高速发展，为内蒙古带来了新的增长动力，改变了其资源驱动型的单核发展模式。随着产业结构不断改善，内蒙古经济发展趋于良性。　　2016年国家首次提出打造特色小镇的计划，“西部大开发”十三五规划于年初出炉，公示了第二批特色小城镇名单共90个，内蒙古入选十个，和陕西省并列第一位。这一批特色小镇的建设将明显增加内蒙古旅游的吸引力，为其经济增长提供新的引擎。　　　　今年内蒙古将推行多项民生工程改善人民生活，其中包括确保20万人脱贫、新增城镇就业25万人以及完成22万套棚户区改造。另外，在首府呼和浩特市也投资了多项惠民建设工程，包括70周年大庆主场馆内蒙古少数民族群众文化体育运动中心，以及乌兰夫纪念馆、儿童探索博物馆和示范性老年公寓等，所有这些都将在70周年大庆前后竣工并交付使用。这意味着多项民生工程献礼内蒙古自治区70周年大庆。　　通过横向比较2015年西藏成立50周年庆和新疆成立60周年庆之后，西藏、新疆板块相对于沪深300超额收益的幅度和持续时间，将会对本次内蒙古板块收益的潜在程度有一个预判。　　2015年9月1日西藏成立50周年庆，西藏振兴指数3个月后领先沪深300指数20.71%，截至2017年3月31日领先36.68%。2015年10月1日新疆成立60周年庆，新疆区域振兴指数3个月后领先沪深300指数5.47%，截至2017年3月31日领先34.07%。2017年5月1日是内蒙古成立70周年大庆，具体庆典将在8月前后举行，参考西藏、新疆板块的表现，届时内蒙古指数很可能也有所表现。　　内蒙古大庆每十周年举行一次，上一次内蒙古60周年大庆庆典发生在2007年8月8日，在全部20只股票中，3个月后有11只跑赢沪深300，胜率为55%，6个月后有15只跑赢沪深300，胜率为75%，一年后有13只跑赢沪深300，胜率为65%。行业分布较为分散，主要包括公用事业、化工、采掘、有色、医药生物、交运设备。　　无论是横向对标新疆、西藏，还是纵向比较60周年大庆时的情况，区域主题在重大庆典后相对于沪深300的明显超额收益。结合内蒙古近两年经济基本面不断改善，今年70周年大庆之时，就是内蒙古板块躁动之日。　　　　国泰君安认为，内蒙古具备相对较强的经济、财政实力，且自治区70周年大庆即将到来，催化充分。在民族地区发展“十三五”规划中，明确提出经济跨越发展的措施包括“加强基础设施建设”和“壮大特色优势产业”。　　其中，基础设施建设包括交通运输体系、水利设施、信息基础设施、能源等方面;特色优势产业则包括农牧业及其加工业、能源矿产资源开发、林业、民族特色旅游业、民族医药及关联产业以及战略性新兴产业、现代服务业等。内蒙古板块受益标的包括 、 、东宝生物（300239）、金河生物（002688）、生物股份（600201）、 和北方创业（600967）等。　　光大证券（601788）则提出，作为联通中俄蒙的西部重镇，内蒙古有望迎来区域发展和一带一路相关政策的春风，建议从四个方面去挖掘内蒙古板块的机会。　　首先，基建迎来发力期，生态修复持续推进，建议关注蒙草生态(环保PPP项目加速，业绩爆发可期)。　　其次，大力发展现代农牧业，建议关注生物股份(动物疫苗龙头，产品上市放量业绩增厚)、金河生物(玉米供给侧改革，深加工受益;布局动物疫苗)。　　再次，供给侧改革步伐加快，建议关注包钢股份（600010）(受益钢铁供给侧改革和混合所有制改革)、鄂尔多斯(硅铁行业龙头，受益硅铁、硅锰价格大涨，业绩有望持续改善)、北方稀土（600111）(受益稀土价格上涨)。　　最后，国企改革加速推进，建议关注北方创业(兵器集团下属内蒙一机集团上市平台，获注装甲车辆和火炮等军品核心资产，军品业务高速增长，民品业务订单充足)、兰太实业（600328）(中盐集团唯一上市平台，受益盐业市场化体制改革加快推进)、北方股份(矿用车龙头，兵器集团下属北重集团上市平台，属于典型的“大集团，小公司”)、内蒙华电（600863）(地区电力龙头，电改有利于盈利能力改善)。=========================================更多更及时的专业信息，请关注盈交易俱乐部微信号：“盈交易俱乐部” 有料、轻松、戏虐的投资分析，10万粉丝的共同选择，请微信搜索“盈交易俱乐部”关注
1492492059000[,,,,,,]内蒙古自治区成立70周年，关注包钢股份！
