1492819187000[,,,,,,]//:我刚打赏了这个帖子 ¥1，也推荐给你。
1492818981000[,,,,,,]我刚打赏了这个帖子 ¥1，也推荐给你。
1492818405000[,,,,,,]$华夏幸福(SH600340)$ 现在股票的风险不是基本面 不是高估值 是641 每到周末心里就发慌 这货是不是又要说话了 
1492817910000[,,,,,,]房地产企业大多在谋转型，比如A股的新城控股，中天金融等等，甚至连做商业地产的万达都整天把转型挂在嘴上，唯独华夏幸福，只要专注好主业便是最好的“转型”  
1492817860000[,,,,,,]回复: 产服和园区地产都有持续性，都是躺着赚钱。六年上市公开信息不能证明，大可以再看六年//:回复:谢谢楼主文章  ，华夏幸福，这么说呢？，吴和孟的业务都挺熟，老江湖了，就是说话留半句。一直觉得产服收入没有持续性，根本受益还是地产。只要我国经济这辆自行车不倒，华夏幸福前景还是看好的。
1492817223000[,,,,,,]这篇在说布局武汉（五城+一镇）的文章里，透露了这样一个信息：2016年11月，国家发改委正式成立PPP专家库，并委托清华大学PPP研究中心承担PPP专家库的运行维护和日常管理工作。首批334名专家资源名单中，吴中兵（华夏幸福副总裁兼财务总监）、杨砚峰（华夏幸福总裁助理）、顾强（华夏幸福副总裁，前工信部规划司副司长）等三位华夏幸福高管入选（均为融资类PPP专家库成员）。ppp专家库资料新闻报道链接
1492817006000[,,,,,,]四月行情反思:其实早在三月底的时候，多数个股趋势已经走熊市形态均线开始向下发散，阴跌不止，雄安概念一出，短期扭转了趋势。没错，只是短期。当时的我发现市场上的游资，散户对于雄安的预期非常一致，就是极度看好，导致华夏幸福，金隅股份，河北钢铁等巨无霸每天数十万封单，最高甚至数百万封单。这个时候的我，冷静下来思考。看着乔帮主都不屑于去排单，我知道这个预期太强的东西，一定要出大事。因为什么?因为这个市场最根本的环境是存量资金博弈。如果大家都没搞懂这个基础的东西，在这个市场内混是一定要吃大亏的。存量资金博弈，你死我活的熊市，残酷又血腥，能度过这个熊市的必然是非常不容易的。在根本没有外来资金进入的两周内，雄安龙头强行顶了六个板，古人云，刚而易折。果然，高位吃套的游资散户开始互相踩踏，十分悲惨。既然弄选择了高度投机的板块短线博弈，成也英雄，败也枭雄，认赌服输吧。去年到雄安概念时的市场，高投机资金在市场翻云覆雨，好不牛逼，其实，这可能是最后的表演了。641铁心要清理好市场的环境，打扫屋子再请客，自然所有高投机属性的资金他是必然不欢迎的，所以各种停牌，监管函不断发出。听话的资金就应该撤出短期博弈激烈的板块和个股，转向真正有长期投资价值和成长潜力的公司，从真正的基本面入手进行长线建仓投资，这是641想引导的市场方向。不听话的资金自然是停牌大法伺候，一个出来就是无量跌停，让你叫苦不迭。好了，这波之后，市场的成交量将会极度萎缩，甚至可能达到千亿级别，比目前缩量50%都有可能。高投机的资金该走的走吧，短线赚快钱的时代可能要暂且告一段落了，相反，凭借真实业绩不断成长有强大发展潜力的公司必将脱颖而出，穿越牛熊。3000家公司，在我眼里，有长线价值的不到10%，剩下的就要下苦功夫去寻找金子了。我来给大家指个方向吧，下周内上市公司一季报密集出来，真正有潜力的公司就在里面。好好寻找吧!我不喜欢641的粗暴管理和泼妇式骂街，我这周也亏了不少钱，骂也骂了，我愿赌服输。我希望以后制度化的管理可以让市场更加健康起来，让那些炒作垃圾都见鬼去吧，熊市，业绩为王，重质量不会再是被嘲笑的空话。     
1492794219000[,,,,,,]华夏幸福今天最低点基本回到2板位置了，这个点位再看空雄安，就真傻逼了
1492792871000[,,,,,,]$华夏幸福(SH600340)$ 不要接盘，下周到32元，肯定会到！！！管住手！！！顶部的融资盘快爆仓了
1492792763000[,,,,,,]$华夏幸福(SH600340)$ 虽然连续一周风险警示，收效恐怕不是很好，因为被政策刺激的亢奋的人们是看不到也不愿意看到风险的。但是现实总是比理想要骨感很多，随着股价下跌，这两天明显感受到多方开始恐慌，询问反弹的开始多了起来。，写个详细的后续吧。不要以为跌了不少了，就开始建仓捂长线了。这个股短期跌到32以下，会有技术性反弹发生，但是高度并不乐观。强反弹的话大致在38-40元样子，弱反弹则35-36元样子。42是极限，几乎不太可能。反弹过后会继续下探，跌破30元。年内继续在25到30的大致范围内波动。而顶部的48 元。今年内都见不到了。补充一下，如果下周一立即反弹的话，对后市更加不利，一两个阳线后会迅速跌破32，甚至30.
1492791204000[,,,,,,]我是参与了华夏幸福，北新建材，青龙管业，韩建河山等多场战斗，被打的头破血流
