1492763261000[,,,,,,]沪指全天维持横盘态势，雄安概念股遭遇跌停潮，银行、券商发力支撑大盘，医疗板块受利好消息影响表现活跃，沪指涨0.03%，报收3173点；深成指跌0.43%，报收10314点；创业板跌0.62%，报收1839点。从盘面上看银行、非银金融、采掘、钢铁等板块涨幅居前；食品饮料、国防军工、建筑材料、建筑装饰、交通运输等板块跌幅居前。据羽时涨跌背离得出，需要警惕的5只股：002120.SZ韵达股份、002478.SZ常宝股份、600777.SH新潮能源、600383.SH金地集团、600188.SH兖州煤业；需要关注的5只股：600715.SH  文投控股、600666.SH奥瑞德、002859.SZ 洁美科技、600355.SH精伦电子、002857.SZ  三晖电气重点关注：600715.SH  文投控股、600666.SH奥瑞德
1492678406000[,,,,,,]今日股指震荡走势，午后2点出现下探回升，雄安概念大幅调整，白马股持续受追捧，最终大盘成功翻红；沪指上涨0.04%，报收3172点；深成指上涨0.1%，报收10359点；创业板上涨0.27%，报收1850点。从盘面上看食品饮料、医药、建筑、电子元器件、餐饮旅游等板块涨幅居前；综合、有色金属、钢铁、石油石化、建材等板块跌幅居前。根据羽时涨跌幅得出需要警惕5只股：300152.SZ科融环境、002597.SZ金禾实业、002543.SZ万和电气、002434.SZ万里扬、002021.SZ中捷资源；值得关注的5只股：300630.SZ普利制药、603997.SH继峰股份、600666.SH奥瑞德、600715.SH文投控股、002044.SZ 美年健康；可关注：603997.SH继峰股份、600666.SH奥瑞德
1492590827000[,,,,,,]今日，沪指下跌0.81%，报收3170点；深成指下跌0.61%，报收10348点；创业板下跌0.15%，报收1845点。从盘面上看家用电器、公用事业等板块翻红前；钢铁、采掘、国防军工、有色金属、建筑材料等板块跌幅居前。根据涨跌背离得出，需要警惕5只股：002597.SZ金禾实业、300152.SZ科融环境、601016.SH节能风电、000681.SZ视觉中国、000856.SZ冀东装备；值得关注的5只股：603997.SH继峰股份、002608.SZ江苏国信、600715.SH文投控股、600666.SH奥瑞德、002363.SZ隆基机械；重点关注：603997.SH继峰股份、600666.SH奥瑞德
1492511605000[,,,,,,]沪指收报3196.71点，跌0.79%，成交额2119亿。深成指收报10411.44点，跌0.38%，成交额2559亿。创业板收报1848.20点，跌1.07%，成交额618亿。大盘回顾：1、两市今日整体走出弱势震荡的态势，午后市场再度单边下行，雄安新区整体依然弱势，加上题材股的阴跌，市场再度出现热点的真空，全天自然涨停个股仅9只，市场整体跌多涨少。截止收盘沪指跌0.79%，深成指跌0.38%，创业板跌1.07%，两市总成交额4678亿。2、板块概念方面普跌，白酒、白色家电板块上涨；采掘、人工智能股板块下跌。3、两市共796只个股上涨，28只个股涨停，除新股外涨停9只；2188只个股下跌，37只个股跌停。10只股票炸板。4、沪股通全天净流出5.27亿，深股通全天净流入6.49亿。资金流向主力净流入行业板块前五：港口航运、饮料制造、白色家电、生物制品、医药商业主力净流入概念板块前五：白酒、家用电器、次新股、生物医药、新疆主力净流入个股前十： 、美的集团、五粮液、北新路桥、 、奥瑞德、 、京东方A、葛洲坝、栖霞建设股票今天把没怎么亏得华电科技出了，补了国电、新大陆和昨天跌停板进的际华。满仓状态，仓位集中在中字头、电力、房地产板块，轻资产的板块个股，不敢碰，按照现在市场的情况，轻资产的个股，是去杠杆的主要标的，估值会被重新定义。创业板萎靡不振了一年，PE（市盈率）从15年的高点下来，146倍到现在的55倍，对折再对折，然而相较于全球股市来说，还是不便宜，保守预估要市盈率30-35倍才相对合理（说说而已，不要太当真了）EA今天加了2层仓，合计持有3层仓（不存在人工干预，全又程序自动运行）题外话，波塞冬是什么梗，看下图
1492508271000[,,,,,,]今日，沪指下跌0.79%，报收3196点；深成指下跌0.38%，报收10411点；创业板下跌1.07%，报收1848点。从盘面上看家用电器、食品饮料、医药生物等板块翻红；钢铁、传媒、银行、计算机、非银金融等板块跌幅居前。根据羽时涨跌背离得出需要警惕的5只股票：000615.SZ京汉股份、600684.SH珠江实业、002032.SZ苏泊尔、002233.SZ塔牌集团、600729.SH重庆百货；需要关注的5只股：603997.SH继峰股份、600666.SH奥瑞德、603811.SH诚意药业、300631.SZ久吾高科、603578.SH三星新材！
1492503239000[,,,,,,]#资金流向#  【今日主力资金净流入前十个股】截止4月18日收盘，沪深两市主力资金净流入前十个股分别为：广州港、美的集团、五粮液、北新路桥、贵州茅台、奥瑞德、格力电器、京东方A、葛洲坝、栖霞建设。
1492501259000[,,,,,,]【4月18日资金流向】主力净流入行业板块前五：港口航运、饮料制造、白色家电、生物制品、医药商业主力净流入概念板块前五：白酒、家用电器、次新股、生物医药、新疆主力净流入个股前十：广州港、美的集团、五粮液、北新路桥、贵州茅台、奥瑞德、格力电器、京东方A、葛洲坝、栖霞建设
1492417285000[,,,,,,]今日沪指跌0.74%，报收3222点；深成指跌0.66%，报收10450点；创业板跌1.02%，报收1868点。从盘面上看，两市仅家用电器板块上涨；国防军工、钢铁、纺织服装、综合、机械设备等板块跌幅居前。根据涨跌背离得出，需要警惕的5只股票：000615.SZ    京汉股份、600340.SH华夏幸福、002356.SZ 赫美集团、002206.SZ海利得、002032.SZ     苏泊尔；值得关注的5只股：603997.SH  继峰股份、600666.SH奥瑞德、603303.SH  得邦照明、603811.SH诚意药业、603178.SH圣龙股份；
1492330611000[,,,,,,]“投资是一件非常专业的事情，我们一直与专业为伍，200+场线上分享，50+场线下闭门活动，深入、全面、前瞻性的产业链研究，发掘股权、股票市场的优秀投资机会，关注我们，带给你不一样的投资视角。文 | 张云鹏来源 | 行者有疆4月1日，央视新闻联播头条发布重磅消息“中共中央、国务院决定设立河北雄安新区”，一石激起千层浪，炒房团磨刀霍霍向雄安，周一股市一开市雄安概念股全线涨停。确实，不少人听到这个建立雄安新区的新闻后第一反应就是“要去雄安买房子”，可是试想全国近14亿人都能想到的事情，国家会想不到？你投机的速度，估计还不如段子手编段子的速度。如果说这只是一个“于无声处听惊雷”的极端案例，那么最近媒体上经常提到的“IPO提速”，“一季度过会企业100多家，又一拨史上最好行情来袭”，似乎成了对投资人“更长情的告白”。在咖啡厅、茶馆经常能听到身边的人聊投资和上市，身处股权投资黄金时代的我们真有时不我待的感觉！价格不Care了,增长率也不是关键，对赌不用谈，只要今年能报材料就好。新基金成立如同雨后春笋，老基金相继募集史上最大规模单支基金……然而，拉卡拉是首家按照满足“最近一年盈利，营收大于5000万元”标准申报上市材料的企业，这一标准自2014年证监会颁布以来一直没有被实际执行过。没错，一季度很多机构投资企业上市发行创新高，可是这些成绩是今天取得的吗？不是，这是它们两年甚至十年前播种耕耘的结果。做了这么多年投资，预计今年6月报材料拖成明年6月的，一拖几年甚至永远没申报的事儿都见得太多了。就算是今年申报，会里要一年，解禁还要一年，三年后股权投资还是今天的黄金时代吗？人是社会性动物，喜欢追涨杀跌，但大多时候都是别人收获离场的时候我们再以“英雄”的接盘侠形象闪亮出场。 我来给大家算笔帐吧。目前PRE-IPO项目15倍PE起，当然也有20,30倍的。投资机构15倍PE进场,上市增发后稀释25%，PE上升到20倍。这么多年没见过哪个机构投资的项目100%上市的，假设投资项目2/3比例（这已经是很高很高的比例了）上市，1/3不上市，PE再次提升到30倍（不上市的本金忽略不计）。三年后资本市场平均PE是多少，我感觉不可能超过50倍，悲观点就是30倍以下，投资机构的收益谈何说起？当然大家会说我投资的企业有高成长呀，不可否认部分企业确实有高成长，但比例是多少？中国是制造业大国，目前申报的企业向墨迹天气和拉卡拉这样的新经济企业简直是凤毛麟角。制造业下行， GDP增速放缓的大环境下申报上市的企业真是都有高成长么？我只能说，这么多年我见到过金发科技、奥瑞德、苏宁这样的高成长企业，但更常见的是上市后业绩大变脸的企业。很多公司为了上市前三年的增长过分透支，上市后第一件事就是还债，为曾经的增长买单。我是在04年进入投资行业的，经历过04年到06年的退出无门，也经历了07年到10年的中小板、创业板狂欢。11年，PRE-IPO阶段企业PE创历史新高，12年开始股市却开开停停，实体经济企业业绩断崖式下跌，那一拨的投资达人有许多人到现在还没缓过来。同样是11年左右，有远见的投资人布局移动互联网和o2o，他们在14年，15年赚的盆满钵满，之后又有更多的人怀揣o2o改变世界，再造阿里巴巴的梦想杀入，前赴后继，繁华落尽，遍地鸡毛，令人唏嘘呀。 我和别人介绍松禾资本的时候，讲完我们的累累硕果之后，都会加一句“我们的这一点成绩是建立在时代基础上的”，很多人说我谦虚，其实说的是大实话。我自己认为97年到2007年是中国经济发展的黄金十年——那个只要勤奋就可以赚钱的时代，高科技赚钱，纸杯、家具也赚钱；有品牌赚钱，没品牌也赚钱，物资短缺的时代“礼拜鞋”都能卖出去。有幸在那个时代做投资，100个企业里面选一个，只要你不是傻子、只要你没有投机、只要你坚守到了07年以后，赚多赚少不好说，但赚钱是必然的。今天我们知道的达晨、同创、创新投、松禾……都是那个阶段发展起来的翘楚。当时有的投资机构也不比优秀同行差多少，也曾投过明星项目，可是中途折戟沉沙，没能等到明星项目上市，不然的话一个项目就能赚回基金整体金额的几倍。巴菲特曾有句名言:在别人贪婪时恐惧,在别人恐惧时贪婪。投资回报永远和宏观正相关，经济周期、行业周期都会影响当期基金的回报率。如果你在周期开始的时候播种，巅峰的时候退出无疑是最优秀的投资人；可是当菜市场大妈都聊Pre-IPO的时候你才开始复制别人的成功，此时到底是机会多还是风险多呢？唯有当潮水退去 ，我们才知道谁在裸泳。 创业企业商业模式分三种，to B、to C、to VC。投资机构商业模式也三种，正经赚carry的、赚管理费的、还有一种赚“吆喝”的。 08年创业板热潮时诞生的一批资源型创投如今已经消失，11年o2o热潮兴起时一批赚“吆喝”的机构也快落幕，几年后再看如今的“新贵”，希望别再感叹“林花谢了春红，太匆匆”。有人会说了,云鹏,我怎么没听说过哪家投资公司倒闭的？难道说投资行业没有做的不好的？肯定不是。只是倒闭的标准不一样.投资公司亏了LP的钱,失去了出资人的信任,不能募集下一期就算是倒闭了。私募涉及人少,LP也都是成熟投资人,很多真相不为外人所知罢了。出去吹牛的时候每个人都是神一样的存在,这个项目赚十倍,那个赚100倍,还有5分钟决定投一个亿的……这个行业简直像印钞机。其实不尽然.确实有很多优秀机构做的很好,但其实二八定律这个行业最明显,头部的百分之十赚走了整个行业百分之九十的利润，我们只看到风光看不到愁，是因为没人谈自己亏钱。   投资机构投哪个阶段好，天使、VC还是PE ? 天使投资人龚虹嘉一个海康威视赚了几百亿（一万倍），相对低风险的PE阶段很多机构赔得连裤衩没有，其实阶段无好坏，重要的是你做的怎么样。哪个行业有投资机会？人工智能、泛娱乐、生命科学、大数据、新材料、新能源……哪个方向对单一投资机构都是没有边界的广阔，关键是你够不够专业，有没有能力获得里面的投资机会。投资的工作就是“花钱而已”，门槛其实不高；可是投完能赚大钱门槛就高了。这个世界不乏枭雄，抓住市场一闪即逝的机会，成就霸业。可是赌博也有一战成名的，为什么大多人不靠赌博为生？因为我们知道，这个世界的枭雄和赌博赢大钱的永远是少数中的少数，学也学不来。最终投资机构无论做哪个阶段，还是靠自己的判断力和企业成长性来赚钱。如果只是谈我们身处股权投资黄金时代，或许你谈的时候已经是盛世尾声……什么是能让我们受用一生的真理，什么能保证我们走的更远？永远是一分辛苦、一分收获，孝敬父母，助人为乐这样朴素的价值观。我们赚的每一分钱也是建立在我们的专业和付出基础上，如果投资就是靠“命”，那这个行业的门槛也太高了。企业成长需要过程和积累，付出五年甚至更长的时间，能成就一个行业领先企业已经是很好很好的业绩了。我们经常谈估值一年翻十倍，时不我待，只争朝夕，却忽视了事物的客观发展规律。投资人的必要条件是什么?我认为独立判断是非常重要的。投资与宏观密切相关,我们必须往前看,与时代共振,把握历史的机遇。但无论身处盛世还是末世,我们都不能跟风,人云亦云。价值发现和创造才是我们成功的基础,我们要投资那些真正满足客户需求，提升效率、降低成本，能带来行业变化或革命的好企业。不要轻易赌眼前所有人都在谈的机会,那样还不如去雄安炒房呢。在我眼里投资是一份美好的事业,成就他人同时成就自己，带动产业升级和国家转型。始终站在产业研究的风口浪尖百位首席分析师智慧平台把控稍纵即逝的投资机会构建高端人脉的优质圈子如果您想免费成为我们一员请加好友
1492156527000[,,,,,,]沪指下跌0.96%，报收3244点；深成指下跌1.26%，报收10519点；创业板下跌1.2%，报收1887点。从盘面上看，两市交通运输、电子、轻工制造、休闲服装、公用事业等板块跌幅居前。根据涨跌背离得出，需要警惕5只股：600340.SH华夏幸福、600265.SHST景谷、000429.SZ粤高速A、600297.SH广汇汽车、002023.SZ海特高新；值得关注的5只股：603997.SH继峰股份、600666.SH奥瑞德、002711.SZ欧浦智网、603717.SH天域生态、603133.SH碳元科技
1492098261000[,,,,,,]$奥瑞德(SH600666)$ 对倒快5个月了，按照每天大单金额累计，估计可以涨到80元了。为什么不涨，就是要大单对倒吸引散户，横盘箱体每天出货！！！
