1492814400000[,,,,,,]分得这么少，套路却不少，中国建筑你行。
1492787763000[,,,,,,]$中国建筑(SH601668)$真正的勇者上周五以来，$上证指数(SH000001)$连续掉了100点，许多板块和个股相继调整，个别甚至出现断魂刀，直接跌停在地板上。但是$中国建筑(SH601668)$却继续稳步上扬，虽然步伐比较慢，但却走得非常好。一个台阶一个台阶的上。有人说它是护盘的工具，失去了所谓的"灵魂"。但是回过头想想，如果没有实力，你还不够格去护盘，对吧！良好的业绩和强劲的实力（包括各种实力，你懂的），是它继续走高的基石。强烈看高$中国建筑$
1492785624000[,,,,,,]$中国建筑(SH601668)$ 中国建筑这一波看到10.71-11.00
1492776620000[,,,,,,]中国建筑国际(3311.HK)截至3月底首季收入106.1亿元，按年升21.3%；经营溢利录13.78亿元，按年升15.11%。 
1492772521000[,,,,,,]业绩为王的时代，一带一路（10家）今天跌停，天山股份背离最严重，西部建设，中材国际，北新路桥，厦门港务，可能随时崩盘，十亿人都知道的时候最好出货了，中国建筑，中国交建可能好点，gjd护盘不了民生银行，兴业银行，浦发银行，军工中国船舶，中船科技，中国重工，中船防务要短线看催化剂，军工低吸业绩无忧，北方导航，中航飞机，大飞机和萨得催化剂都在
1492771356000[,,,,,,]投资并不是那么简单的，有一句话说得好：逆水行舟，不进则退。用在股市是再适合不过了，在A股中，行情可谓是瞬息万变。刚刚涨停的个股转眼几分钟就可能跌停，让人傻眼，之前温州帮的做法，不就是这样？！很多朋友具有一些疑问：为什么我一买就跌一卖就涨，为什么选不到牛股，为什么......等等，被各种各样的问题至始至终困扰着，眼看着账户越来越少，反倒是绿油油一片快占完屏幕。缺少的就是，牛股这些问题的源头在哪里？说大一点就是不懂股市，说小一点就是没有好的选股方法，简单一点就是：你缺少一只牛股。本次发文的目的，也是有一个：讲解如何选牛股、如何把握牛股的买卖点、以及牛股案例。下面就来详细的剖析一番，万股千金知道很多人是非常感兴趣的。先来看看18号用“涨停回踩复制选股法”选出的创业环保，选股截图看下图：18号讲解时候，创业环保已经出现了涨停回踩形态，当天也是企稳上涨，万股千金看到了资金继续流入。种种迹象表明该股完美契合选股思路，当时给出了预测：有上涨行情，极大可能涨停。创业环保对比选股时的预测，18号讲解，19号涨停，今天继续上涨。是不是和预测一样，涨停板出现了，当时看到了选股文章的人，抓住了这一波涨停。这种股票都是一波行情，什么意思？就是说并不止一个涨停，往往都伴随着连续大涨，甚至多个涨停。这就是牛股的形态，涨停板就是这样抓住的。创业环保的行情能有多大，高点能有多高，大家可以拭目以待。当然，这种案例都是属于短线个股，操作一波出局，再继续下一只。牛股，其实具有涨停的“基因”就像之前讲到的，牛股是具有涨停的基因，只有近期有出现了涨停，之后才能复制出涨停，对应这种思路的就是“涨停回踩复制选股法”。利用股票涨停板后短期回踩，判断资金动向，及时介入，博取短期的再次涨停机会，风险大，同样机会和收益也大。这里就再次用选股法讲解一只类似个股——0006XX，其实很想给出代码，毕竟更加真实，更加符合万股千金的选股风格。别有用心人太多，需要谨慎，还是直接看分析。概念：IPO受益 节能环保 美丽中国；近期走势强劲，连续的阳线且大角度的拉升，昨天早盘强势调整后一路飙升，成交量最近几天也是密集放大，在大盘这种走势下，主力逆势做空，肯定有其目的。昨天涨停，今日下跌，涨停回踩出现了，刚才说了主力资金在介入，完美符合选股法。该股之后极大可能再出涨停，你懂的。该股属于短线牛股，风险较大，猜到代码持股的人，还没看关注万股千金的建议不要盲目操作，我已经把该股的代码和买卖点以及操作做了详细解析在文末了。当然，学会了此种选股法，就能经常把握住机会，选股法详细思路也已经发布，各位多多留意。更多牛股，精准买卖点，点击左下角阅读全文关注万股千金用惊喜！
1492770840000[,,,,,,]这个牛B了   641、74    
1492770608000[,,,,,,]中国建筑的一季报业绩增速肯定在此之上。
1492769638000[,,,,,,]$中国建筑国际(03311)$實力
1492766096000[,,,,,,] 基本结论        国家高层高度重视一带一路的推进情况，项目加速推进，对外投资不断扩大。2016  年以来，国家政策不断落地，推进一带一路。5  月  14  日，中国更将召开“一带一路”国际合作高峰论坛，将会有  28  个国家的元首和政府首脑，以及联合国秘书长、世界银行行长、国际货币基金组织总裁等多位国际组织负责人出席本届论坛的领导人圆桌峰会。而根据国家商务部资料，2016年，我企业对“一带一路”相关的  53  个国家非金融类直接投资  145.3  亿美元，新签对外承包工程项目合同  8158  份，新签合同额  1260.3  亿美元，同比增长  36%；完成营业额  759.7  亿美元，同比增长  9.7%。        “一带一路”项目区域上集中在非洲，东南亚，南亚，俄罗斯。一带一路推进三年以来共有  70  多个国家支持一带一路建设，与  30  多个国家签订了一带一路协议。目前我国企业参与签订的海外项目数量已经破万。中国拟在建工程网数据显示：从区域上看，项目主要集中于非洲，东南亚，南亚。项目数量占比分别为  25%，22%，19%，以投资规模来论，我国与俄罗斯项目的金额最大，目前已超千亿美元。        “一带一路”项目行业分布以基建类项目为主，能源，交通行业占比最大。        一带一路火电项目目前已多达  80  个，其次为轨道交通，公路，分别为  49个，43  个。投资规模较大的行业依次为交通运输（1974  亿美元），电力（1718  亿美元），建筑（1039  亿美元），能源（912  亿美元）。投资最高的项目类型为轨道交通（1517  亿美元），天然气（597  亿美元），公共建筑（590亿美元）。        国内企业积极扩展海外业务，其中，建筑、铁路、电力等优势行业占主导地位。一带一路带动了我国一批企业走出去，成为一带一路战略积极的践行者。跟据对上市公司  2015、2016  年对外签订合同的统计，两年来共有  18家上市公司累计签订  275  个重大项目合同，项目总金额达到  7220  亿美元。        其中，以中国电建，中国建筑，中国铁建为代表的建筑、铁路、电力等优势企业更是起到了带头作用，这三家企业企业签订的海外订单额高达  3841  亿美元，从投资规模上来看，占据了整个一带一路一半以上的规模。        一带一路处于加速推进阶段，后续投资规模将持续增长。亚洲国家基础设施落后，2010-2020  年，亚洲各国总计需要  5.42  万亿美元用于基础设施投资。2015  年底各省汇报我们一带一路沿线的总投资规模为  1.04  万亿美元，因此未来  4  年的基础设施需求规模为  4  万亿左右。        投资建议把握三条投资主线，海外建筑施工、重大装备“走出去”以及重点区域。海外建筑施工企业将率先受益于“一带一路”沿线基础设施建设。我们首推从事交通、电力、能源等项目建设，并且拥有大量海外订单的央企。        “一带一路”建设将带动我国重大装备出口增长，特别是工程机械、电力  设备、高铁等高端制造业出口。此外，国内“一带一路”核心区域也将有项目持续落地，特别是新疆、福建、西安和兰州。        风险提示：政策推进不及预期： 
1492761929000[,,,,,,]$上证指数(SH000001)$  不怕严查，那就怕选择性执法。既然证券77条有一个很模糊的规定：单独或者通过合谋，集中资金优势、持股优势或者利用信 息优势联合或者连续买卖，操纵证券交易价格或者证券交易量。那只要股票暴涨或者暴跌，怎么查都是合理的，因为暴涨暴跌，必然是资金优势短时间大举买卖的后果。那么既然这样，是否应该统一执法标准？银行股尾盘屡屡的放量爆拉，这算不算操纵股价？就拿所谓蓝筹股来说，贵州茅台，中国建筑，上海汽车等等一年翻倍，财报不过增长20%，这算不算操纵股价？在股市上选择性执法比不执法更可怕，哪个股票的涨跌，不是资金优势连续买卖的结果？要么统一执法标准，一视同仁。要么就什么都不要管，让市场决定。靠个人的标准喜好来选择性执法，真正伤害的是市场本省。
