1492744573000[,,,,,,]$中远海控(SH601919)$ 股市一蹦，鬼家队就得拉你吧，再买点。
1492736864000[,,,,,,]回复: 目前也只能这样了。反过来想，少做非航租赁也不一定不好，远东宏信是租赁龙头之一，估值也不高。中远海发做这个的话，在人才储备上不足，未必做得过远东。//:在新的定增规则下，定价基准日为发行期首日，近期股票更不可能有啥起色了。上次公布3.6的定增价，120亿元的定增额都没啥行情。 现在的海发和BDI没有半毛钱的关系，看年报就知道，他们船舶和集装箱租给了他的兄弟公司中远海控，56亿多。这部分资产占总资产的7成多。去年的净利只有2亿，从年报公布的合同看，今年也好不到那儿去。 与上一个方案相比，这次修正后将资金投向作了调整，最赚钱的非航租赁部分取消了。
1492694283000[,,,,,,]回复: 对，谢谢你的提醒，但这不是本文的主旨，因为本文是还是基于基础层面的讲解，一篇文章给承载内容太多怕有些人消化不良，这个系列后面还有。欢迎您继续发表您的意见。//:回复:07年之前的中远海控也是高成长，现金流强大的公司，所以事实无绝对。另外高速扩张期的公司有时候现金流不怎么样，比如前几年的中国建筑
1492681957000[,,,,,,] 其实我们接触了一些人，大部分是畏惧解读这些数据的，为什么？看起来复杂，讲起来专业，但实际上只要稍微用点功夫，就能把这些问题弄清楚，投资中的一些底层问题就会一目了然。    成长性越稳定越好，数据大起大落说明可持续性差。公司在不同阶段会有不同增速，可以通过下图浅看。（案例依然是 ） 东方财富系统提供了成长能力指标： 这里可以看到营业收入与扣非净利润的规模与同比增长，扣非净利润是指扣除非经常性损益后的利润。这个内容并不复杂。 再看下图（此图为 ，曾名中国远洋）：扣非净利润同比每年为负，看到这类数据，公司的价格形态、均线再好，股票价格再低，成交量再完美，也不用关注这些股票，更不用说交易。一个企业可以亏损这么多年，表明这种是天然的烂生意或者公司管理很差，没必要深入研究。 现金流如何看？主要数据是现金流量表的数据，我们看到表中有许多“净额”字样，大家记住“净额”的一条公式就可以了：现金流入-现金流出=净额 财务报表的现金流量表获得三个数据：以 为例（看图表） 经营净额：39亿，数值最低要求大于零投资净额：-22亿，这是资本支出，越少越好融资净额：-2.8亿，借钱发展，越少越好。 自由现金流计算：经营净额-投资净额=39亿-22亿=17亿；股票软件已经对三大报表多年的数据进行整理，较方便，多年的数据趋势比某年的数据重要的多。 以上是基础数据分析部分，我们基本掌握了个股的盈利性、成长性、现金流状况等，就可以进行数据分析与选股了，再往后就会知道上面的三个维度与估值相关。未完待续...... ------------------延伸阅读：
1492657001000[,,,,,,]$中远海控(SH601919)$ 妈D，现在买入。
1492656827000[,,,,,,]$中远海控(SH601919)$ 这孙子辈的果然是被孙子用来牵制大盘的。还好及时止步观察。
1492653939000[,,,,,,]今天把市值配售仓从渤海金控平移到中远海控，可能是个错误的决定，但昨天翻墙看了不太好的东西，总是不习惯呆在漩涡里，虽然也有可能是龙卷风直接把你带上天。
1492608754000[,,,,,,]回复: 值得考虑//:回复:港口运输行业：目前全世界的航运市场都处于低迷时期；随着经济逐渐复苏，未来航运会逐渐复苏从而带动相关股价上涨；目前A股前段时间港口运输板块就蠢蠢欲动，这是个信号；推荐港口运输股：连云港、盐田港、珠海港、中远海控、宁波海运；航运的复苏也会带动造船业船舶股：亚星锚链、中国船舶、中国重工；
1492597315000[,,,,,,]因为前几天因为看好的票：中国铝业 京东方A 南山铝业 中国神华 中远海控 这几个月有所表现所以雪球冒了点皮皮（四川话，泛指鼓吹）4/19 今天这些票就普遍跌的有点厉害了 ，本着负责的态度，继续谈谈后市看法。近月三大会监管趋严 监管与诉求有所冲突 导致最近行情絮乱。一些板块急涨急跌，我不对监管发表任何看法，我还是说说我认可的这些票。手机截的图 上证指数月线，五月线16年五月调头，十月线16年十月调头，关键的二十月线17年三月走平。趋势一定是向上的，而且是上升确立的开始，针对票池里，就是那几只谈到的15年表现欠佳的票，大型底部票 。创业板指 15年七月5月线调头向下，16年九月十月线调头向下，2016年12月20月线调头向下。所以这是我认为的二板的不同，但不是说创业板票不好，创业板公司是国家发展的未开，只是我认为区域阶段普遍为高估，也许会涨，也是被后市主板市场带动的（股市气氛好，情绪有所拉动，不管哪只票）这是大级别的技术指标，小的我就不说了，毕竟长线。各位可以去验证下历史经验。  再说消息面，千年雄安，并没有去追，恰巧买的天津港在里面，挨到今天也没出。 不过长远方眼光看，雄安新区，目前造福的是本地，京津冀地区企业，不过再往后一定是惠济国内大型企业的，所以不要对大盘股再有所成见。基本面因为选票多，就不一一谈了。介于一位老师的教导，名字我不谈了，此人极度低调，到现在我对基本面反而最不看重了，毕竟各种季度报年报对于P/E，P/S，EPS，EBITDA，EBIT等之类关键指标转化太快，个人认为是带有一定目的性的改变，具体是啥大家都懂。总结；因为手机编写的，简陋，望海涵，只是针对今天的急跌出来说说话透透气。大家没事可以去找找个股中急跌，横盘几天，然后极速拉升的票，作为对比，比比皆是，今天的急跌我个人认为是不用怕的。过几天有空我把自己收藏资料拿出来说说。介绍下本人，海待一枚，金融专业，所以不要说我不分析基本面，只是外股和A股环境情况反差很大，我也是回国才有所感同身受。对于技术指标，也会看一些，这篇只说了大级别技术指标，小的变数太大没必要谈，相信长期的大数据一定是不会骗人的，只需要认准方向 有不对地方希望多多提出，多多指导。年轻，脸皮厚，不怕说 
1492582875000[,,,,,,]今天很多股票终于进入伏击圈，再加加油，很快可以扣动扳机啦
1492568297000[,,,,,,]$中外运航运(00368)$$中远海控(01919)$$中集集团(02039)$货代刚刚发给我的。HQ柜开始缺柜（高柜）
1492565385000[,,,,,,]大妈是苦口婆心啊，买卖自己负责，何必如此//:回复:你太天真啦！，政治幼稚，早就让你销户了，我问你，暴风还在继续补仓吗？看来你是没经历过中国远洋和云南铜业，也没经历过沪东重机和上海梅林，但你已经经历过了全通教育和金亚科技所以，请成熟一些，暴风小王子请记住，现在全国都是左冷禅
1492564661000[,,,,,,]你太天真啦！，政治幼稚，早就让你销户了，我问你，暴风还在继续补仓吗？看来你是没经历过中国远洋和云南铜业，也没经历过沪东重机和上海梅林，但你已经经历过了全通教育和金亚科技所以，请成熟一些，暴风小王子请记住，现在全国都是左冷禅
1492521082000[,,,,,,]回复: 小密密//:回复:年报披露的伊之密，安琪酵母，中远海控，金隅股份，哪个超预期？
1492482202000[,,,,,,]$中远海控(SH601919)$ 哎，此货居然被坏人利用成为大盘的控制器了。
1492480190000[,,,,,,]$中远海控(SH601919)$ BDI指数为什么两天没更新了？
