1492866114000[,,,,,,]$锦龙股份(SZ000712)$排中小板17位
1492866066000[,,,,,,]$锦龙股份(SZ000712)还是在中小板排第十七位
1492797639000[,,,,,,]$锦龙股份(SZ000712)$ 有利润就跑， 金融去杠杆期间东莞证券上会时间不好说， 不过只要还没上会，这股就一直可以做。
1492790565000[,,,,,,]$鸿博股份(SZ002229)$小账户今天清仓了，亏了0.2个女神。主账户鸿博不动。。。下周小账户可能回归我的老股，锦龙股份。差不多到了决定过不过会的时候了。可以赌一把。
1492786728000[,,,,,,]$锦龙股份(SZ000712)$到底什么时候上会呀
1492779925000[,,,,,,]　　红刊财经 惠凯　　同样是下单买股票，却有着比普通投资者更明显的时间优势，这就是神秘的券商VIP通道。这个VIP通道被称为“枪板神器”“快速交易通道”，可这个通道有典型的嫌贫爱富的特征，要想成为被服务的客户至少得有上千万资产，而且换手率也要达到相关要求。不少龙虎榜交易数据都出自VIP通道。由于特殊的优势，这个VIP通道也很容易成为机构操纵股价的方式。继3月17日有媒体报道监管层发《通知》进行监管后，在3月24日的证监会新闻发布会上，上交所发言人也称，为防止乌龙指出现，将对交易单元买卖数额作出修改。这一政策意味着，隐秘存在的券商VIP通道业务也将迎来变局，次新股板块首当其冲，并对A股市场产生深远的影响。记者也观察到，在3月24日证监会作出回复后，周一（27日）开盘后，次新股的上涨局面被遏制，之后的17个交易日内，Wind资讯次新股指数区间最大跌幅达25.34%。　　　　技术上，投资者提交下单委托后、进入交易主机撮合分为两环节：1，券商柜台系统接受投资者委托后，经交易单元、报盘网关将委托向交易所申报；2，交易所将收到证券公司的申报，按照时间优先的原则提交给服务器，服务器对所有交易通道提交的申报按照交易规则公平处理。但是，有券商向部分资金量大、交易活跃的客户提供了VIP通道服务，包括独立交易单元和报盘网关等工具，使其申报相比中小投资者具备明显的时间优势。　　中信证券北京的一位投顾蔡东说，下单指令流程的第一步是从投资者手机/电脑传输到营业部的券商交易席位主机，第二步是交易席位主机传输到交易所的数据中心。“当你下单后，首先会传送到交易席位所在的主机，然后主机结合投资者的资产和账户情况，程序核对没问题之后再传送到交易所的数据处理中心，并匹配成交。”　　“上海交易所和深圳交易所都是会员制，所谓的会员，以前是‘红马甲’直接在交易所操作，现在都是计算机，叫做交易席位。”蔡东对《红周刊》记者表示，“营业部自己有交易单元，通常一个营业部至少匹配一个上交所交易席位、深交所一个席位，如果客户多，会有更多的交易席位，比如营业部如果能有5万个客户，一般是就是3个交易席位。如果想开独立的交易席位，是要多花钱的”。　　不同的券商对客户有着不一样的资金门槛。东莞证券的一位人士告知记者，“使用独立通道，我们公司的要求要资产5000万以上”。他表示，以往还曾要求客户的全年交易佣金必须在100万元以上，这意味着5000万元的客户单月的换手率需达到300%以上，导致很多达到5000万门槛的客户也难以申请到独立交易单元，“不过从去年取消了成交量和佣金的考核门槛”。　　对于监管层在3月17日下发的文件，他并不是很担心，“证监会并没有完全禁止，只是把下单的金额改小了。比如现在新股开板后，你可能下单100万股，那新规下交易所会把你下单的数量改成几十万股”。　　一位长江证券经纪人透露，使用独立交易单元，资金量门槛为4000万元，每个月的交易佣金必须在2万元以上，“如换手率过低，导致佣金低于2万元，就会被取消使用资格”。除了资金量外还设置佣金门槛，目的就是保证稀缺的资源不会被浪费，“以前有大户买了使用资质后，由于其交易风格偏向价值投资，交易频次不高、还要交一大笔通道费用，后来就不再续约了”。这位人士透露，购买了独立交易单元的客户在交易风格上偏好追踪新股开板/市场热点概念龙头股等短抄风格。　　此外，还曾有券商开展过“准VIP通道业务”。她说，比如为营业部的200-300个资金量较大但又低于4000万门槛的客户准备一条单独的通道，资金和佣金门槛低于独立交易单元，交易速度又快于散户。不过实践证明，“这种‘准VIP通道’的抢板效率要低于真正的VIP通道，后来也就取消了”。　　“独立交易单元又称为‘打板神器’、‘VIP通道’、‘快速交易通道’等，本券商现以优惠价格提供独立交易单元供用户使用，光速通道、火速下单，是中小型私募弱势逆袭的首选”。这是华宝证券的一则兜售广告。华宝证券成都营业部的员工邓秋生向《红周刊》记者说，华宝证券作为一家小券商，出于承揽客户的目的，只要资金门槛达到1000万元就能开通独立交易单元，但是须缴纳50万元/年的通道费用，“我们的价格算是比较低的，像长三角的知名营业部，哪怕你有5000万元的资金都未必能申请到”。他说，“独立交易单元的优势体现在集合竞价阶段抢涨停板上，尤其是能极大提高集合竞价阶段的下单成交率”。　　邓秋生还说，按照资金量和客户需求的不同，除了提供“单人单线”的交易通道外，资金量略小的客户可以5-10人共享一个独立交易单元，“当然这种模式下，抢板效率会明显下降，尤其是盘中连续竞价模式下”。　　多位券商人士告知记者，VIP通道的最大价值在于集合竞价阶段抢板。以知名的国泰君安上海团结路营业部为例，3月份这家营业部4次登上龙虎榜，其中3月2日买入新股博天环境133万元，几乎独揽当天全部抛盘；3月7日，买入新股海峡环保420万元市值的股票，占总抛盘的100%，13日全部卖出，此时市值已经涨到了646万元。邓秋生说，只有使用VIP通道，才能出现这种情形。　　　　中国量化投资学会理事长丁鹏向《红周刊》记者表示，独立交易单元的下单成交速度“只有几毫秒”，作为对比，普通散户使用的公共通道成交速度在500毫秒以上。他打了一个比方，普通散户先得跟营业部的其他客户赛跑、再跟本券商的其他营业部赛跑、最后等到了交易所还得跟全国股民赛跑，独立交易单元就是直接通到交易所。。　　在100多家券商中，华泰证券的VIP通道业务备受瞩目。邓秋生向记者透露，华泰经常能抢到一字板，“不是华泰的交易快多少，而是因为华泰的独立交易单元多，每个独立交易单元排中的几率是一样的，那么华泰证券营业部登上龙虎榜的总概率就比其他券商大”。以退市博元为例，2016年3月29日，退市博元确定退市、进入退市整理期后，3月29-31日三个交易日卖出榜第一都是华泰证券杭州学院路营业部，且成交额占到了这三天成交总量的95%以上。　　一位不愿具名的知名游资营业部中信证券溧阳路营业部员工向《红周刊》记者表示，除华泰证券、中信证券等大券商外，小券商华鑫证券的VIP通道业务也在业内很有知名度。“2016年以来声名鹊起的温州帮也在交易中使用了VIP通道。此前有市场人士通过龙虎榜观察到，温州帮通常每个账户的资金规模上限不超过5000万元。我在工作中与温州帮有过交集，这一分仓规模既能达到VIP通道的资金门槛，又不至于因为资金量太大引起市场异动和监管层关注。”　　　　 对于VIP通道，券商更多的是把此看成是客户差异化服务的一个方面。可市场上也存在VIP通道业务是否违反“公开、公平、公正”原则的争议。早在2013年底，中小创和次新概念走势不俗，VIP通道业务也受到不少机构的青睐。但在媒体报道VIP通道业务后，有声音认为，这一业务违反了资本市场“公开、公正、公平”的原则。2014年3月，深交所召开券商座谈会，交易所表示，将会与监管部门、行业自律组织共同摸底VIP通道业务现状，维护好市场的“三公原则”。华宝证券投顾邓秋生回忆说，2014年的争论并没有对VIP通道业务产生颠覆性的影响。“但这次是两个交易所和中证登一起出手，政策层级明显高于2014年”。　　近期监管层下发的一份征求意见稿显示，交易所将加强对长期存在的券商“VIP通道”业务的监控。VIP通道是券商面向资金量较大、偏好短炒风格的投资者开辟的独立交易通道，包括独立的交易单元和网关两部分，因下单和成交速度快，被视作“抢板神器”。不过，这种商业模式也存在着是否违反“三公”原则的争议。而在交易所出手后，次新股行情的涨势也被终结。　　3月17日，有媒体报道，上交所、深交所和中国证券登记结算有限责任公司在证监会的批准下，正就证券交易资金前端风险控制规则征求修改意见。一份名为《关于就证券交易资金前端风险控制相关规则征求意见的通知》称，“为进一步加强风险控制，维护证券交易结算秩序，保障市场安全稳定运行......对证券公司、基金公司、保险公司等机构持有或租用的交易单元竞价买入申报金额进行额度管理”。　　《征求意见稿》称，“证券交易资金前端风险控制分为全天净买入资金前端控制和分时纯买入资金前端控制，全天净买入资金前端控制是指由中国结算对结算参与人关联的交易单元的全天净买入申报金额实施额度管理，并由交易所根据中国结算的委托对交易参与人实施前端控制的制度，分时纯买入资金前端控制是指交易所对交易参与人单一交易单元单个申报周期内的纯买入申报金额实施总量控制的制度”。　　“此次调整，最直接的影响是提高了VIP通道的使用门槛。预计未来资金量小的客户就可能被迫退出这个市场，资金量大的投资者可以通过分仓的方式、在几家券商都分别放一部分资金，以规避对单个VIP通道的资金总量限制”。　　知名资本市场维权人士徐财源表示，“VIP通道的存在不仅对中小投资者是不公平的，完全违反了市场‘三公’原则，没有任何法律依据。监管层加强对VIP通道业务监管，以求遏制次新股的过分爆炒，是扬汤止沸。表面看是可提高散户抢板的成功率，看似好意”，但从市场走势来看，此举已经严重冲击到了次新股板块的走势，动摇了多头的做多热情。　　深圳紫金港资管公司首席研究员陈绍霞表示，VIP通道是券商面向高端客户提供的一种差异化服务，“达到一定门槛的客户在付出代价后享受到更好的交易条件，并没有什么问题”。“如果说对散户不公平的话，就是VIP通道可能会成为一些机构操纵股价的工具，这也是监管层监管的重点方向”。
1492771811000[,,,,,,]上周太嘚瑟了，本周就跌给我看！所以做人不能太得意！澳博控股周跌幅2.97%，北方稀土周跌幅5.07%，st五稀周跌幅5.50%，锦龙股份周跌幅1.88%，只有国泰君安跌得少点，周跌幅0.16%。本周有几个操作需要说明。1、周一的时候把一直想出的券商b卖了，这笔投机失败。卖出券商b主要是为了回避5月的分级新政，今天抽空去柜台签了，发现证券公司门可罗雀。去了两家券商营业部，每家都只有几个人，熊市的氛围明显。问了柜台的妹子，去柜台签分级b协议的很少，估计五月后分级b的流动性堪忧，分级b大幅折价的日子会要到来了，这也许是下半年投机的一个机会。2、卖出券商b的同时买入了锦龙股份对冲。我是看好券商的，今年券商涨幅大幅落后大盘，市场迟早会纠偏。买入锦龙的逻辑在于东莞证券的上市，且兼顾深市的打新。这笔买入还是一次投机，准备东莞证券上市这波炒完就溜，换国海证券，逻辑还是证券加打新。锦龙股份目前微套1个多点。3、周三大跌时加仓买入国泰君安和st五稀，把现金全部用完。五稀在跌停板买入，本来当天要做T的，但下午临时有事耽搁了（挂了单，没到挂单价位），周四上午卖出部分做T的仓位（周三买的没卖完，相当于又加了五稀的仓位，五稀已经变成第二大仓了），手里有钱，心里才不慌。国泰君安是做长线的，等下个牛市的到来，现在的仓位还是最小，希望做完澳博后能回来捡国君。周中有个小思考记录如下：近期格力电器、华帝股份为代表的家电股，贵州茅台、泸州老窖为代表的白酒股还有片子癀、马应龙为代表的中药股都出现了大幅的上涨，这仅仅是资金在追大白马吗？这些企业负债少，现金多，这应当是市场对上面的货币政策调整做出的反应吧。。。。。。 那玩意太深奥，作为一枚小散根本想不通，不想也罢，当做胡思乱想吧！持仓由大到小顺序为澳博控股、st五稀，北方稀土、锦龙股份、国泰君安。
1492762222000[,,,,,,]$锦龙股份(SZ000712)$ 洗出翔了吧。 
1492756242000[,,,,,,]$锦龙股份(SZ000712)$当前需要放量，等等中……
1492754493000[,,,,,,]证券行业走强投资关注：锦龙股份，海通证券，广发证券投资逻辑：指数再次下行，大金融板块有护盘迹象
1492754478000[,,,,,,]$锦龙股份(SZ000712)$ 好像你才是东莞证券上市第一受益股，别整的涨是千年老二，跌是老大。这怎么搞。难道$东莞控股(SZ000828)$ 才是明媒正娶的？
