1492869719000[,,,,,,]  数据来源：Wind 资讯，截至4月21日   
1492868556000[,,,,,,]$立讯精密(SZ002475)$ 　新华社北京4月22日电 题：动感靓丽 潜力广阔——从首季经济数据看中国经济新气质之六！如果是大风来了，风口上的起飞就等到了！期待！
1492858655000[,,,,,,]来雪球这个网站半年多了，这里一些大咖的分析方法让我的投资技术和心态不断得到提升。今天第一次在雪球上发文，主要对我过去一周投资过程进行回顾，以后争取每周一篇周记，用来记录自己的投资历程，分析投资过程中的得失。本周大盘真是泥沙俱下，连各路游资都含泪割肉，千年大计的雄安概念股们也没有按照各路大V的分析在回调后再创新高，而且市场走的太弱了，缺口没能回补，上证指数60分钟macd金叉也没有换回像样反弹，只能靠拉升工商银行，石化双雄这些超级大盘股来掩饰指数的弱势。本周账户亏损了0.55个点，比大盘的走势稍微好一点。目前主要持仓的股票有顺络电子，铁龙物流，中兵红箭还有一个停牌的中银绒业。重仓的顺络电子是使账户没有较大亏损的定海神针，这只股票本周走势很强，而且从周线走势来看是一步一个台阶，十分稳定，加之业绩出色且上方套牢盘不多，后续应该还是继续重仓。这只股票有意思的一点是每天如果拉升一波以后必定会下来，而跌的太多后面就会拉回去有时间盯盘的话可以高抛低吸，收益应当是十分可观的。目前压力位在19.65-19.75这个区间，前期有多次尝试突破都没有成功，上周本来差不多成功了，结果大盘不好又下来了4月29号将要公布第一季报，看看有没有惊喜，希望后续能够突破20.44吧。铁龙物流是上周入的，4月12号在前一天突破创最近股价新高后缩量回踩到了前期支撑位，我判断是一个较好的买点，而且这只票属于国资改革的排头兵，而且业绩不错，同时具有一带一路的概念，于是进了一些，结果人算不如天算，直接被大盘按下来了本周做了次T，成本大概在10.46左右。这票中线看起来应当没什么问题，但是短期如果大盘还是不好的话估计要减点仓位了。 中兵红箭这个轻仓的股票倒是亏得最惨，上周入的时候正好是股价带量突破前高，当天就盈利了几个点，考虑到量不错，上方套牢盘少，加之国际形势不稳定，军工股应当会有不错的表现，准备继续持有一段时间。结果风云突变，特朗普不打朝鲜了，军工股一落千丈，而且屋漏偏逢连夜雨，一季报预计亏损，周一直接来了个跌停。。。。。。当时看跌停封的不是很坚决，还抱有侥幸心理，想第二天反弹出掉，结果第二天也没有給太好的机会，60分钟macd金叉也没有叉上，下周找机会肯定要出掉了。这个票是本周账户亏损的主要原因，归根到底还是心态不够坚定，成功的交易往往就是要做出反人性的举动。这周本来还想进特变电工和好莱客这两个股票，但是考虑再三还是把钱拿去补仓铁龙物流了，无意中躲过了周五的暴跌，周五这根带量大阴线确实怪吓人的，下个月要召开一带一路峰会，看看后续还有没有好的买点。好莱客业绩不错且有较大的发展前景，周三应当是一个好的买点，但是考虑到大盘不好没有开新仓，后续继续重点观察。下周大盘估计还是弱势，如果有像样点的反弹就继续减仓，上方的缺口和120日均线应当都是压力位。如果直接掉头向下，30周均线和60周均线都是支撑位，破掉3100点感觉概率不大，真破了就满仓干，毕竟周五尾市的护盘动作说明国家队不太希望大盘暴跌，即使是做指数，也要做的好看一点。下周重点观察的股有：物产中大，好莱客，立讯精密
1492837963000[,,,,,,]回复: 发此帖的唯一目的是指出：在成长股涨了几倍，股价和估值都处于历史高位区间时，高位刚刚出现大幅调整，不应该去看基本面而加仓！至于你说的成本只是过去，确实只是过去，但是只有过去才是确定的，而未来无论研究多深入都是不够足够确定的。不考虑成本而坚持持仓，那只有在股价未曾大幅上涨并未完全反映未来两三年业绩增长预期的基础上才成立。市场在任何时候都无法对三年以内的业绩预期做出股价反映，如果持有成本已经反映了三年以内的预期，还有淡定吗？至于机构和散户的博弈，那是另外一个话题了。//:回复:对于成本这个问题，理性的看应当认为只是过去。首先我们不是主力，快速加减仓位是完全可以做到的。实在想不通完全可以认为之前的盈利或者亏损是因为别的个股赚的或者亏的，当前的股票现价你是否愿意接受。 个人不是讨论三聚环保现在价位适合加仓或者减仓，谈的只是在无融资情况下是否持仓应该不关注自己的成本。如果你认为涨了几倍已经到头，不管多少的成本都应当离场，除非你认为这笔钱盈利或者亏损对自己影响不大，无所谓。  当然前提条件是自己没有融资配资盘，否则由不得你，如果有融资盘之类的确实需要考虑自身成本情况，否则可能强行平仓就由不得自己。  心态其实是人性的弱点，也是机构和散户的最大差别。简单举例来说：海康威视和立讯精密等越涨股东人数越少，机构认为基本面良好当前价位能接受继续加仓，散户认为当前价位买入成本太高而止盈。网宿科技和银禧科技等越跌股东人数越多，机构认为基本面恶化不管多少成本都要离场，散户以为股价低所以成本低继续买入。
1492837371000[,,,,,,]   第一章　华尔街没有新事物·这些数字（价格）总是在变化，变化才是我感兴趣的东西。为什么这些数字会变化？我不了解，也不在意。我不会想这些事情，我只是看到这些数字在变化。·我唯一的指引就是股票过去的表现。·我很早就学到的另一个教训，就是华尔街没有新事物。华尔街不可能有新事物，因为投机就像山岳那么古老。股市今天发生的事情以前发生过，以后会再度发生。我从来没有忘记这一点。·波动当然有理由，但是大盘不会去管原因和理由，也不会花精神去解释。我14岁时不会问大盘为什么，今田我40岁了，也不会去问为什么。·对我来说买卖从来就没有任何差别。我操作一种系统，而不是操作一支喜爱的股票，也不是操作支持我买卖背后的意见。·我没有徒众，只顾自己做交易，总之我唱的是独角戏。我是用自己的头脑，不是吗？要是价格不照我判断的方向走，朋友或伙伴思考帮不上忙；如果不是这样，价格就会向另一个方向走，谁也不能好心地阻止价格变动。我看不出有什么需要把握的交易告诉别人……这就是我总是单独操作的原因。第二章　生市场的气对你没有任何好处·事实上，如果我在开始交易前，肯定自己正确无误，我总是会赚钱。打败我的，是没有足够的头脑，坚持我擅长的游戏——也就是说，只有前兆对我的操作有利，让我满意时才进场。·有一种是股市傻瓜，这种人认为他们随时都要交易。没有人能够抑制拥有适当的理由，每天都买卖股票……·不理基本大势，持续不断操作的意愿，是华尔街上许多人亏损的原因。·我从来不会生股市的气，从来不跟大盘理论。生市场的气对你没有半点好处。第三章　凡事都有两面，但是股市只有一面·有人说凡事都有两面，但是股市只有一面，不是多头的一面或空头的一面，而是正确的一面。·亏损教导我，除非我确定不会被迫退却，否则我一定不能开始前进。·一个人要是想靠这个游戏过活，必须相信自己和自己的判断。这就是我不相信内幕的原因。第四章　等你知道不该做什么才能不亏钱时，你开始学习该做什么才能赚钱第五章　不要失去你的头寸·我逐渐得到信心，这种信心来自对自己的谋生方法有着专业而冷静的态度。·大家都说，获利落袋，你绝对不会变穷。不会，你绝不会变穷，但是在多头市场里，你获取四点的利润，你也不会发财。·我终于明白老白粹奇先生不断告诉其他顾客：“噢，你知道这是多头市场”时，他其实想告诉他们，赚大钱不是靠个股价起伏，而是靠主要波动，也就是说，不靠解盘，而是靠评估整个市场和市场趋势。·你必须研究整个大势，而不是研究内幕或影响个股的特殊因素，然后腻要忘掉你所有的股票，永远忘掉！任何人所能学到一个最有帮助的事情，是放弃尝试抓住最后一档——或第一档。·这样让我对自己的判断深具信心，但是有很多次，我都让别人建议甚至让自己的不耐烦破坏掉了。一个人对自己的判断没有信心，在这种游戏中走不了多远。·我认定——正确地认定——这种反弹在我看来是无可避免，甚至是健全的……第六章　考虑大盘，而不是个股第七章　股票永远不会太高，高到让你不能开始买进；也永远不会太低，低到不能开始卖出·我看空而卖出股票时，每次的卖出价格一定要比前次低。我买进的情形正好相反。我一定是逐步向上摊平。我买股票作多时，不是向下摊平而上向上摊平。第八章　在多头市场看多，在空头市场看空·在萨拉托加发生联合太平洋铁路买卖的时间之后，使我比以前更容易摆脱小道消息和论谈，也就是说更容易摆脱别人的意见、推测和疑心，不管别人对我多么友善，或是他们个人多么能干。·即使在我还是小孩子的时候，我总是从我观察到的事实中找出我自己的结论。这是我得到结论的唯一方法。我不能从别人叫我看的事实中找到结论。那些不适我自己的事实，你懂了吗？·我做多股票时，是因为我对情势的研判使我看好。我不容许我的持股，也不容许我先入为主的偏见待其我的思考。·决定你做交易的市场的性质如何，比任何其它事情都重要。我开始了解要赚大钱，一定要在大波动中赚。不管推动大波动起步的因素可能是什么，事实俱在，大波动能够持续下去，不是内线集团炒作或金融家的技巧造成的结果，而是依靠基本形势。第九章　投机客一定不能只是个学生，他必须同时是学生和投机客·噢，那天收盘后，我的身家超过100万美元。但是我最大的胜利不是钞票，而是无形的东西：我做对了，我向前看，并且遵照明确的计划。我学到要赚大钱必需做的事情，我永远脱离了赌客的层次。第十章　总有一个错误在你前边·承认我们自己的错误，应该会比研究自己的成功让我们得到更多的好处。·人通常很快就会适应情况，因此会丧失洞察能力。·你可能使用虚假的论证，咱挣或反对商品市场中的某种趋势，但是成功都只是暂时性的，因为到最后，事实一定会战胜一切，所以交易者考研究和观察得到红利，就像在做正常生意一样。他可以观察和考虑各种状况，而且可以跟任何人知道的一样多。他不需要预防内线集团。·看盘不是替你算命。大盘不会告诉你下星期四下午1点35分你的身价有多少。看盘得目的是确定第一：如何交易；第二：什么时候交易。·投机客不是投资人。他的目标不是靠着很高的利率，让自己的资金得到稳定的报酬，而是靠着投机标的价格上涨或下跌获利。·永远不要跟大盘理论，或询问大盘的理由或解释。事后替股市解剖验尸不会得到任何股利。·专业交易者总是会拥有某些系统，这些系统以他们的经验为基础，由他们对投机的态度或他们的欲望为主轴。·没有遵守已经证明成功的交易系统，这是大部分人的问题。第十一章　关心把事情做得正确，而不是关心赚钱·专家关心把事情做得正确，而不是关心赚钱，他知道，如果其它事情他都做好了，利润自然而然会出现。第十二章　股市不会为你的皮大衣付钱第十三章　身为投机客，我的事业是始终支持自己的判断·投机客要是能够学到什么事情，让他不自大，付任何代价都不算太高。一些聪明人的很多严重的失败，都可以归因于自大……在华尔街里，对投机客来说，尤其如此。第十四章　抓住空头回补的理想时机·一个人赚钱的时机来临时，钞票挡也挡不住，就好比没有带雨伞，走到暴雨中，想要不打湿也难。·没有一个地方像华尔街一样，历史能够这么放肆、这么经常或这么一致地重复发生。你研读当代景气和恐慌的纪录时，最让你震惊的一件事，就是不论今田得股票投机，还是股票投机客，和过去的差别居然这么少。这种游戏没有改变，人性也一样没有改变。第十五章　在投机操作中，没有什么事情能够绝对预定第十六章　内幕：大家多么想要内幕·大部分人都很喜欢存货、盈余统计和各式各类的数字资料，以为这就代表事实和确定不移的东西。第十七章　经验会付给你稳定的红利，观察会让你得到最好的内幕第十八章　投机客的勇气就是有信心根据自己的决定行动·整个过程中，我稳如泰山，因为我知道自己的头寸正确。我没有对抗市场趋势或违背基本形势。第十九章　股票投机成功的基础，是假设大家未来会继续犯以前所犯的错误第二十章　不要指望把利润救回来，在还能出脱而且能够廉价出脱时，赶快脱身第二十一章　在景气热潮中，大众总是先赚到很多钱——帐面上的利润，而且始终是帐面上的利润·报纸总是设法刊出解释市场波动的文章。这就是新闻。读者不只要求知道股市发生什么事情，也要求了解其中的原因。因此，作手不必非吹灰之力，财经记者救回刊出所有能够采访到的信息和谣言，也会分析盈余报告、产业状况及展望。简单地说，会说出能够为涨势提供任何解释的新线索。第二十二章　在华尔街上，狗绝对不会有反对咬狗的愚蠢意见第二十三章　警惕那种只解释不具名内线认识希望大众相信的解释·投机客知名的敌人有无知、贪婪、恐惧和希望。世界上所有的法令规章以及地球上所有证券交易所的规则，都不能把这些敌人从人的兽性中消除。·拿任何一天的财经版来看，你会惊讶的发现，报纸刊载了极多暗示是半官方性质的生命。这些权威人士是一些“重要的内线人士”，或是“著名的董事”，或是“公司高层人员”，或是“具有权威”的某些人，大家认为这些人理当言之有物。·一般顾客相信，如果他坚持了解为什么某支股票会上涨的话，他就是打破沙锅问到底的精明人。作手自然会可以安排便于出货的方式，“解释”这种涨势。第二十章　大众应该始终记住股票交易的要素。一支股票上涨时，不需要花精神去解释它为什么会上涨
1492746686000[,,,,,,]$立讯精密(SZ002475)$ 25.60干
1492740011000[,,,,,,]$立讯精密(SZ002475)$ 4月21日10:00入选#股价创新高个股#策略，当前股价26.17元，上破52周高点价格26.15元。关注此策略即可收到最新消息推送，请在 App 内点击查看 https://xueqiu.com/strategy/33
1492702557000[,,,,,,]今天入立讯精密没什么问题，大盘今天震荡尾盘收高，多方已进场，明天再跌机会较小，冲高平仓。继续关注雄安看明天有没机会，雄安是个长期热点，后期会反复炒作。
1492700883000[,,,,,,]1，今日雄安概念股全线熄火，部分跌停2，昨日次新的反弹没有持续，多数小幅调整3，白马股今日大涨医药：桂林三金   马应龙涨停  白酒：迎驾贡酒家电：今日并没有特别强势电子类白马：德赛电池  立讯精密   长盈精密    安洁科技  海康威视4，一带一路也是今天另一个强势板块，也是红盘的原因   港口和 基建领域5，超跌反弹银之杰:  金融IT服务公司金证股份:   金融IT服务公司中财金科： 金融IT服务公司（未涨停）高升控股：实际控制人增持公司股份计划的公告中科云网：控股权被申请司法拍卖新华都：控股股东参与云南白药的控股股东的国企混改，实质就是股权转让荣晟环保：荣晟环保一季度净利预增236% + 次新  三板
1492697946000[,,,,,,]立讯精密也就今年比信维通信强那么一点，去年立讯精密是跌的而信维通信涨了54%，至于前年不用提了自己看去吧。
1492678217000[,,,,,,]$立讯精密(SZ002475)$今天的大涨是小米6的功劳吧！
