1492752911000[,,,,,,]$广州发展(SH600098)$8.5有那么难吗
1492684762000[,,,,,,]$广州发展(SH600098)$ 低于十元，耐心等候就是！
1492680723000[,,,,,,]  蓄势待涨策略逻辑是成交量极度萎靡，没人愿意卖，预示着技术性反弹即将到来。今天筛选出5只股票：   广州发展（600098）博晖创新（300318）。4.21日收盘或逢低买入，4.24日收盘或逢高卖出，策略规律可查看附件图片。特别提示：再好的策略也要谨慎判断，高手多分析，小白多看少动，股市有风险，入市需谨慎！
1492669824000[,,,,,,]$广州发展(SH600098)$空头真弱
1492653546000[,,,,,,]$广州发展(SH600098)$感觉庄家在吃货哦
1492653098000[,,,,,,]$广州发展(SH600098)$缩量了，好事。缩半年。
1492607754000[,,,,,,]【广州发展】2017年1-3月：发电量售电量数据增加18%左右，但价格可能是下降的。天然气和燃料都较大幅度下降。
1492586012000[,,,,,,]$湖北能源(SZ000883)$中国最的水电公司长江电力（600900.SH)开始在二级市场上举牌了。　　3月15日，中国排名仅次于五大电力集团的国投电力发布的简式权益变动报告书显示，长江电力联合一致行动人三峡资本、长江资本耗资约23亿元举牌国投电力，合计持股比达到5%。　　长江商报梳理发现，除了首次在二级市场上举牌外，长江电力还通过股权受让等多种途径持股了湖北能源、广州发展、上海电力、三峡水利等7家上市公司。　　除了参股上市公司，长江电力还大规模进行并购。去年，公司完成了金沙江川云公司100%股权收购，将中国第二大水电站溪洛渡揽入怀中，交易额近800亿元。　　据长江商报记者不完全统计，截至目前，长江电力的股权投资超百亿，参股公司已达24家。　　投资超百亿，资本市场多点开花　　长江电力对外股权投资的步伐正在加快。　　3月20日，重庆上市公司三峡水利发布股东股权转让协议获得国资委批复公告显示，长江电力近10亿元受让重庆中节能持有的三峡水利1.01亿股（占总股本的10.20%）获得监管层批准，长江电力将成为其第二大股东，与一致行动人三峡资本、长电创新合计持股比达到15.40%，仅次于水利部。　　这只是近期长江电力在资本市场加码的举措之一。实际上，近年来，长江电力在资本市场动作频频。　　3月15日，国投电力发布的简式权益变动报告书显示，长江电力与一致行动人三峡资本、长江资本耗资约23亿元举牌国投电力，合计持股比达到5%。　　根据长江商报不完全统计，截至目前，长江电力共参股24家公司，投资超百亿。　　根据长江电力2016年半年报披露的数据，长江电力持有湖北能源（持股比24.62%）、广州发展（持股比12.82%）、上海电力（持股比4.97%，今年2月22日减持1500万股）、建设银行（持股比0.41%）、大唐新能源（持股比2.29%）、中广核电力（持股比0.61%）、嘉事堂（持股比0.0088%）等7家上市公司，算上国投电力及三峡水利，其持股的上市公司达9家，共计持股37.46亿股（不含嘉事堂）。　　报告显示，截至去年上半年，长江电力的初始股权投资达到97.50亿元，当期新增投资8.03亿元，而在湖北能源、广州发展、上海电力、建设银行、大唐新能源 中广核电力、嘉事堂等7家上市公司的原始股权投资就达到66.17亿元。如果算上近期的国投电力和三峡水利两家的超30亿投资，长江电力仅在上市公司的股权投资就超百亿。　　此外，长江电力还持有金融企业股权，分别持股三峡财务22.08%、三峡保险经纪（北京）公司18.00%，原始投资合计5.15亿元。　　除了上述股权投资外，长江电力还对如湖北清能投资发展集团（长江电力持股比42.98%）等公司进行了投资。　　金融持股仅剩建行，水电配置做“加法”　　立志做世界水电行业引领者的长江电力正在通过大规模扩张打造水电航母。　　长江商报记者采访发现，近年来，长江电力正在逐步减少金融上市公司股权配置（三峡财务、三峡保险经纪〔北京〕公司两家公司与之有关联除外），相反，水电资产配置在持续加码。　　回溯长江电力2012年前后的年报发现，彼时，公司持有交行、中信、长江证券、工行、建行等多家金融上市公司股权，如今经过多次减持后，仅剩下建行。　　其实，早在2004年建行分立时长江电力就已介入，作为建行股份发起人之一，长江电力出资20亿元，持股比为1.03%。不过，两年后，长江电力开始大幅减持，2006年底减持4亿股、2007年再次减持4亿股，如今仅持有建行10.16亿股。　　长江电力在金融资产配置上做减法，而在水电资产配置上频频做加法。　　官网显示，长江电力的国内业务板块中，有三峡、葛洲坝、溪洛渡、向家坝、乌东德、白鹤滩等六大水电站，位于长江干流的三峡、葛洲坝、溪洛渡、向家坝四大水电站装机容量达4553.7万千瓦，年发电能力约1900亿千瓦时。　　长江商报记者查询发现，作为中国第二大水电站溪洛渡、第三大水电站向家坝，曾为金沙江川云公司持有。去年上半年，长江电力耗资近800亿元（支付现金374.55亿元）从控股股东三峡集团等3家公司手中购得，这也是长江电力近期最大的一笔水电资产并购。拿下这两大水电站，长江电力的自有装机容量将从2527.7万千瓦增加至4387.7万千瓦，增长73.58%。　　对此，长江电力称，完成重组后，溪洛渡、向家坝电站的发电量主送上海、浙江、广东等地，公司在华东、华南电力市场的占有率进一步提高，市场竞争优势更加明显，为公司实现世界水电行业引领者的美好愿景打下坚实基础。　　二级市场上，长江电力也在加紧布局水电资产。算上近期加码的三峡水利、国投电力等水电业务，长江电力持有的电力上市公司有湖北能源、广州发展、上海电力、大唐新能源（风力发电）、中广核电力等7家公司，涉及水电、风电、火电、核电等多领域电力资产及电力能源。　　针对长江电力持股三峡水利等公司股权，有券商人士认为，三峡水利处于长江电力产业链的下游，在电力体制改革环境下，公司未来若与三峡水利实现电力业务上下游对接，为公司旗下三峡、葛洲坝等水电站打开新的电能消纳途径，缓解公司因电网调度导致的弃水问题，三峡等水电站产能有望得到释放，从而增强公司盈利能力。　　长江电力亦在官网中称，参股湖北能源等优质电力企业，不断提升公司权益装机，优化公司电源结构，实现效益与规模同步增长。同时，利用水电企业现金流稳定充沛的特点，稳步开展投资，平滑公司收益对业绩的波动影响，提高公司盈利能力。
1492570665000[,,,,,,]$广州发展(SH600098)$你不是庄股吗，来个闪崩。
1492407570000[,,,,,,]关于  ，对 说: 广州发展 怎么看？
1492329334000[,,,,,,]回复: 说的好，深圳的还是要买深圳的房。说什么邻深的都是扯淡。深圳的地理环境和北上广不一样，没有绝对的一环二环。而且东西狭长，一定要考虑上班距离、环境配套，深圳户口学位等因素。首付不够的就考虑罗湖的老破小，想要大的就去龙岗中心那边，或者已通地铁的松岗、沙井或者将通地铁的平湖、观澜之类。最无奈才选坪山，选临深根本没办法正常上下班，5+2的生活成本更高。//:回复:对于一个经常关注深圳和广州房地产的我来说，老毛的见解就像隔了一层纱，没有到肉的感觉。以楼主情况，如果买房是为了自住，就一定要在深圳里面靠近工作的地方买了老破小，其实在罗湖区250万可以买个50多方的两房单位。如果买房是为了投资，建议买广州市区内的上车盘，广州市区内还有很多2万多的上车盘（老破小，生活方便，有学位）。广州这几年发展的确落后深圳，但是没有相差2-3倍差距。在深圳狂涨2015年，深圳的房价是广州的3倍，当时很多人都说广州落后了，但事实证明2016年投资广州房地产是最佳选择。到现在为止，广州房产一年时间差不多涨了一倍（个人认为深圳和广州相同地段的合理价格比为3/2）。广州现在还剩下一些老破小没有涨很多，估计市场很快就会填平这个差距。其实从深圳上涨过程中可以看出，2015年热点地区和新区领先上涨，然后罗湖区老破小在2015年底到2016年中跟涨，涨幅都差不多。无论如何选择，首先应该在深圳，广州里面选择（不过这两城市限购太严格了，要有房票才行，而且广州还限卖，要有长期持有准备），如果实在不行，可以买靠近珠江两岸的湾区区域，深圳与广州就像两颗恒星一样，大家互相吸引，深圳发展一路向西（往广州方向），广州发展向东向南（往深圳方向），它们之间的引力带区域应该都是不错的区域。例如东莞长安，虎门，广州新塘，南沙等。
